InstrumentName, West Denver PA-II,
StartTime, 2022-09-01 00:00:00,
EndTime, 2022-09-30 23:59:59,
Date,humidity,temp_f
09/01/2022 00:10:17.000000,18.0,93.0
09/01/2022 00:20:14.000000,18.0,93.0
09/01/2022 00:53:02.000000,19.0,93.0
09/01/2022 01:05:11.000000,19.0,93.0
09/01/2022 01:09:02.000000,20.0,92.0
09/01/2022 01:17:02.000000,21.0,92.0
09/01/2022 01:37:09.000000,21.0,91.0
09/01/2022 01:57:02.000000,21.0,90.0
09/01/2022 01:59:02.000000,21.0,90.0
09/01/2022 02:05:02.000000,21.0,90.0
09/01/2022 02:21:09.000000,22.0,89.0
09/01/2022 03:29:48.000000,24.0,86.0
09/01/2022 03:52:29.000000,26.0,85.0
09/01/2022 04:19:18.000000,28.0,84.0
09/01/2022 04:35:18.000000,28.0,83.0
09/01/2022 04:39:25.000000,28.0,83.0
09/01/2022 04:45:18.000000,29.0,83.0
09/01/2022 05:01:18.000000,29.0,82.0
09/01/2022 05:26:08.000000,30.0,81.0
09/01/2022 05:46:14.000000,31.0,81.0
09/01/2022 06:17:51.000000,31.0,80.0
09/01/2022 06:50:41.000000,32.0,79.0
09/01/2022 07:29:41.000000,33.0,78.0
09/01/2022 07:31:41.000000,33.0,78.0
09/01/2022 07:33:41.000000,33.0,78.0
09/01/2022 07:35:41.000000,33.0,78.0
09/01/2022 07:37:41.000000,33.0,77.0
09/01/2022 07:39:41.000000,34.0,77.0
09/01/2022 07:41:41.000000,34.0,77.0
09/01/2022 07:43:42.000000,34.0,77.0
09/01/2022 07:45:42.000000,34.0,77.0
09/01/2022 07:47:42.000000,34.0,77.0
09/01/2022 07:49:42.000000,34.0,77.0
09/01/2022 07:51:42.000000,34.0,77.0
09/01/2022 07:53:42.000000,34.0,77.0
09/01/2022 07:55:42.000000,34.0,77.0
09/01/2022 07:57:42.000000,34.0,77.0
09/01/2022 07:59:42.000000,34.0,77.0
09/01/2022 08:01:42.000000,34.0,77.0
09/01/2022 08:03:42.000000,34.0,77.0
09/01/2022 08:05:42.000000,34.0,77.0
09/01/2022 08:07:42.000000,35.0,77.0
09/01/2022 08:09:42.000000,35.0,77.0
09/01/2022 08:11:42.000000,35.0,77.0
09/01/2022 08:13:42.000000,35.0,77.0
09/01/2022 08:15:42.000000,35.0,77.0
09/01/2022 08:17:42.000000,35.0,76.0
09/01/2022 08:19:42.000000,35.0,76.0
09/01/2022 08:21:42.000000,36.0,76.0
09/01/2022 08:23:42.000000,36.0,76.0
09/01/2022 08:25:42.000000,36.0,76.0
09/01/2022 08:27:42.000000,36.0,76.0
09/01/2022 08:29:42.000000,36.0,76.0
09/01/2022 08:31:42.000000,36.0,76.0
09/01/2022 08:33:42.000000,36.0,76.0
09/01/2022 08:35:42.000000,36.0,76.0
09/01/2022 08:37:42.000000,37.0,76.0
09/01/2022 08:39:42.000000,37.0,76.0
09/01/2022 08:41:42.000000,37.0,76.0
09/01/2022 08:43:42.000000,37.0,76.0
09/01/2022 08:45:42.000000,37.0,76.0
09/01/2022 08:47:42.000000,37.0,76.0
09/01/2022 08:49:42.000000,38.0,76.0
09/01/2022 08:51:42.000000,37.0,75.0
09/01/2022 08:53:42.000000,37.0,76.0
09/01/2022 08:55:42.000000,37.0,76.0
09/01/2022 08:57:42.000000,37.0,76.0
09/01/2022 08:59:42.000000,37.0,76.0
09/01/2022 09:01:42.000000,37.0,75.0
09/01/2022 09:03:42.000000,36.0,75.0
09/01/2022 09:05:42.000000,36.0,76.0
09/01/2022 09:07:42.000000,36.0,76.0
09/01/2022 09:09:42.000000,35.0,76.0
09/01/2022 09:11:42.000000,35.0,76.0
09/01/2022 09:13:42.000000,35.0,75.0
09/01/2022 09:15:42.000000,36.0,75.0
09/01/2022 09:17:42.000000,36.0,75.0
09/01/2022 09:19:42.000000,36.0,75.0
09/01/2022 09:21:42.000000,35.0,75.0
09/01/2022 09:23:42.000000,35.0,75.0
09/01/2022 09:25:42.000000,36.0,75.0
09/01/2022 09:27:42.000000,36.0,75.0
09/01/2022 09:29:42.000000,36.0,75.0
09/01/2022 09:31:42.000000,36.0,75.0
09/01/2022 09:33:43.000000,36.0,75.0
09/01/2022 09:35:42.000000,36.0,75.0
09/01/2022 09:37:43.000000,36.0,75.0
09/01/2022 09:39:42.000000,36.0,75.0
09/01/2022 09:41:42.000000,35.0,75.0
09/01/2022 09:43:43.000000,35.0,75.0
09/01/2022 09:45:43.000000,35.0,75.0
09/01/2022 09:47:43.000000,35.0,75.0
09/01/2022 09:49:43.000000,35.0,75.0
09/01/2022 09:51:43.000000,36.0,75.0
09/01/2022 09:53:43.000000,35.0,75.0
09/01/2022 09:55:43.000000,35.0,75.0
09/01/2022 09:57:43.000000,35.0,75.0
09/01/2022 09:59:43.000000,35.0,75.0
09/01/2022 10:01:43.000000,35.0,75.0
09/01/2022 10:03:43.000000,35.0,75.0
09/01/2022 10:05:43.000000,35.0,75.0
09/01/2022 10:07:44.000000,35.0,75.0
09/01/2022 10:09:43.000000,35.0,74.0
09/01/2022 10:11:43.000000,35.0,74.0
09/01/2022 10:13:43.000000,35.0,75.0
09/01/2022 10:15:43.000000,35.0,74.0
09/01/2022 10:17:43.000000,36.0,74.0
09/01/2022 10:19:43.000000,36.0,74.0
09/01/2022 10:21:43.000000,36.0,74.0
09/01/2022 10:23:43.000000,36.0,74.0
09/01/2022 10:25:43.000000,36.0,74.0
09/01/2022 10:27:43.000000,37.0,74.0
09/01/2022 10:29:43.000000,37.0,74.0
09/01/2022 10:31:43.000000,37.0,74.0
09/01/2022 10:33:43.000000,36.0,74.0
09/01/2022 10:35:43.000000,36.0,74.0
09/01/2022 10:37:43.000000,37.0,74.0
09/01/2022 10:39:43.000000,37.0,74.0
09/01/2022 10:41:43.000000,37.0,74.0
09/01/2022 10:43:43.000000,37.0,73.0
09/01/2022 10:45:43.000000,37.0,73.0
09/01/2022 10:47:43.000000,37.0,73.0
09/01/2022 10:49:44.000000,37.0,73.0
09/01/2022 10:51:44.000000,37.0,73.0
09/01/2022 10:53:43.000000,37.0,73.0
09/01/2022 10:55:44.000000,37.0,73.0
09/01/2022 10:57:43.000000,36.0,73.0
09/01/2022 10:59:44.000000,37.0,73.0
09/01/2022 11:01:44.000000,37.0,73.0
09/01/2022 11:03:43.000000,37.0,73.0
09/01/2022 11:05:44.000000,36.0,73.0
09/01/2022 11:07:44.000000,36.0,73.0
09/01/2022 11:09:44.000000,38.0,73.0
09/01/2022 11:11:43.000000,38.0,73.0
09/01/2022 11:13:44.000000,38.0,73.0
09/01/2022 11:15:43.000000,38.0,73.0
09/01/2022 11:17:43.000000,38.0,73.0
09/01/2022 11:19:44.000000,38.0,73.0
09/01/2022 11:21:44.000000,38.0,73.0
09/01/2022 11:23:44.000000,38.0,73.0
09/01/2022 11:25:44.000000,39.0,73.0
09/01/2022 11:27:44.000000,38.0,73.0
09/01/2022 11:29:44.000000,39.0,73.0
09/01/2022 11:31:44.000000,39.0,73.0
09/01/2022 11:33:45.000000,39.0,73.0
09/01/2022 11:35:44.000000,38.0,73.0
09/01/2022 11:37:44.000000,38.0,73.0
09/01/2022 11:39:44.000000,39.0,73.0
09/01/2022 11:41:43.000000,39.0,72.0
09/01/2022 11:43:44.000000,39.0,73.0
09/01/2022 11:45:44.000000,39.0,72.0
09/01/2022 11:47:44.000000,39.0,72.0
09/01/2022 11:49:44.000000,39.0,73.0
09/01/2022 11:51:44.000000,39.0,73.0
09/01/2022 11:53:44.000000,39.0,72.0
09/01/2022 11:55:44.000000,40.0,72.0
09/01/2022 11:57:44.000000,40.0,72.0
09/01/2022 11:59:44.000000,39.0,72.0
09/01/2022 12:01:44.000000,39.0,72.0
09/01/2022 12:03:44.000000,40.0,72.0
09/01/2022 12:05:45.000000,40.0,72.0
09/01/2022 12:07:44.000000,40.0,72.0
09/01/2022 12:09:44.000000,40.0,72.0
09/01/2022 12:11:44.000000,40.0,72.0
09/01/2022 12:13:44.000000,40.0,72.0
09/01/2022 12:15:45.000000,40.0,72.0
09/01/2022 12:17:44.000000,40.0,72.0
09/01/2022 12:19:44.000000,40.0,72.0
09/01/2022 12:21:44.000000,41.0,72.0
09/01/2022 12:23:44.000000,41.0,72.0
09/01/2022 12:25:44.000000,41.0,72.0
09/01/2022 12:27:44.000000,41.0,72.0
09/01/2022 12:29:44.000000,41.0,72.0
09/01/2022 12:31:44.000000,41.0,72.0
09/01/2022 12:33:44.000000,42.0,72.0
09/01/2022 12:35:44.000000,42.0,71.0
09/01/2022 12:37:44.000000,42.0,71.0
09/01/2022 12:39:44.000000,42.0,71.0
09/01/2022 12:41:44.000000,42.0,71.0
09/01/2022 12:43:44.000000,43.0,71.0
09/01/2022 12:45:45.000000,45.0,71.0
09/01/2022 12:47:45.000000,45.0,71.0
09/01/2022 12:49:45.000000,45.0,71.0
09/01/2022 12:51:45.000000,45.0,71.0
09/01/2022 12:53:45.000000,47.0,71.0
09/01/2022 12:55:45.000000,46.0,71.0
09/01/2022 12:57:45.000000,46.0,71.0
09/01/2022 12:59:45.000000,46.0,71.0
09/01/2022 13:01:45.000000,47.0,71.0
09/01/2022 13:03:45.000000,46.0,71.0
09/01/2022 13:05:45.000000,46.0,71.0
09/01/2022 13:07:45.000000,45.0,71.0
09/01/2022 13:09:45.000000,45.0,71.0
09/01/2022 13:11:45.000000,44.0,71.0
09/01/2022 13:13:45.000000,44.0,71.0
09/01/2022 13:15:45.000000,45.0,71.0
09/01/2022 13:17:45.000000,44.0,71.0
09/01/2022 13:19:45.000000,45.0,71.0
09/01/2022 13:21:45.000000,45.0,71.0
09/01/2022 13:23:45.000000,45.0,71.0
09/01/2022 13:25:45.000000,44.0,71.0
09/01/2022 13:27:45.000000,44.0,72.0
09/01/2022 13:29:45.000000,44.0,72.0
09/01/2022 13:31:45.000000,44.0,72.0
09/01/2022 13:33:45.000000,44.0,72.0
09/01/2022 13:35:45.000000,45.0,72.0
09/01/2022 13:37:45.000000,45.0,72.0
09/01/2022 13:39:45.000000,45.0,72.0
09/01/2022 13:41:45.000000,45.0,72.0
09/01/2022 13:43:45.000000,45.0,72.0
09/01/2022 13:45:46.000000,45.0,72.0
09/01/2022 13:47:45.000000,45.0,72.0
09/01/2022 13:49:45.000000,45.0,72.0
09/01/2022 13:51:45.000000,44.0,72.0
09/01/2022 13:53:45.000000,43.0,72.0
09/01/2022 13:55:45.000000,41.0,73.0
09/01/2022 13:57:46.000000,41.0,73.0
09/01/2022 13:59:45.000000,42.0,73.0
09/01/2022 14:01:45.000000,40.0,73.0
09/01/2022 14:03:45.000000,39.0,73.0
09/01/2022 14:05:45.000000,38.0,73.0
09/01/2022 14:07:45.000000,38.0,73.0
09/01/2022 14:09:45.000000,38.0,73.0
09/01/2022 14:11:45.000000,38.0,73.0
09/01/2022 14:13:45.000000,38.0,74.0
09/01/2022 14:15:45.000000,38.0,74.0
09/01/2022 14:17:46.000000,38.0,74.0
09/01/2022 14:19:45.000000,37.0,74.0
09/01/2022 14:21:45.000000,36.0,74.0
09/01/2022 14:23:45.000000,36.0,74.0
09/01/2022 14:25:45.000000,36.0,75.0
09/01/2022 14:27:46.000000,35.0,75.0
09/01/2022 14:29:45.000000,35.0,75.0
09/01/2022 14:31:45.000000,35.0,75.0
09/01/2022 14:33:45.000000,35.0,75.0
09/01/2022 14:35:45.000000,34.0,75.0
09/01/2022 14:37:45.000000,34.0,76.0
09/01/2022 14:39:46.000000,33.0,76.0
09/01/2022 14:41:45.000000,33.0,76.0
09/01/2022 14:43:46.000000,33.0,76.0
09/01/2022 14:45:46.000000,33.0,77.0
09/01/2022 14:47:46.000000,33.0,77.0
09/01/2022 14:49:46.000000,34.0,77.0
09/01/2022 14:51:46.000000,33.0,77.0
09/01/2022 14:53:46.000000,32.0,77.0
09/01/2022 14:55:46.000000,32.0,78.0
09/01/2022 14:57:46.000000,32.0,78.0
09/01/2022 14:59:46.000000,31.0,78.0
09/01/2022 15:01:46.000000,31.0,78.0
09/01/2022 15:03:46.000000,32.0,78.0
09/01/2022 15:05:46.000000,32.0,79.0
09/01/2022 15:07:46.000000,31.0,79.0
09/01/2022 15:09:46.000000,31.0,79.0
09/01/2022 15:11:46.000000,31.0,79.0
09/01/2022 15:13:46.000000,31.0,79.0
09/01/2022 15:15:46.000000,31.0,80.0
09/01/2022 15:17:46.000000,30.0,80.0
09/01/2022 15:19:46.000000,30.0,80.0
09/01/2022 15:21:46.000000,31.0,80.0
09/01/2022 15:23:46.000000,30.0,80.0
09/01/2022 15:25:46.000000,30.0,80.0
09/01/2022 15:27:46.000000,29.0,81.0
09/01/2022 15:29:46.000000,28.0,81.0
09/01/2022 15:31:46.000000,28.0,81.0
09/01/2022 15:33:46.000000,28.0,81.0
09/01/2022 15:35:46.000000,28.0,81.0
09/01/2022 15:37:47.000000,29.0,82.0
09/01/2022 15:39:46.000000,29.0,82.0
09/01/2022 15:41:46.000000,28.0,82.0
09/01/2022 15:43:46.000000,28.0,82.0
09/01/2022 15:45:46.000000,28.0,82.0
09/01/2022 15:47:46.000000,27.0,82.0
09/01/2022 15:49:46.000000,27.0,83.0
09/01/2022 15:51:46.000000,27.0,83.0
09/01/2022 15:53:46.000000,28.0,83.0
09/01/2022 15:55:46.000000,27.0,83.0
09/01/2022 15:57:46.000000,27.0,83.0
09/01/2022 15:59:46.000000,27.0,84.0
09/01/2022 16:01:46.000000,27.0,84.0
