InstrumentName, Chatfield Park,
StartTime, 2020-09-01 00:00:00,
EndTime, 2020-09-30 23:59:59,
Date,O3,PM2.5
09/01/2020 00:00:00.000000,,8.9
09/01/2020 01:00:00.000000,,8.5
09/01/2020 02:00:00.000000,,9.0
09/01/2020 03:00:00.000000,,9.1
09/01/2020 04:00:00.000000,,9.7
09/01/2020 05:00:00.000000,,10.2
09/01/2020 06:00:00.000000,,10.4
09/01/2020 07:00:00.000000,,9.3
09/01/2020 08:00:00.000000,,9.0
09/01/2020 09:00:00.000000,,9.1
09/01/2020 10:00:00.000000,,9.8
09/01/2020 11:00:00.000000,,9.9
09/01/2020 12:00:00.000000,,9.7
09/01/2020 13:00:00.000000,,9.5
09/01/2020 14:00:00.000000,,9.4
09/01/2020 15:00:00.000000,,7.5
09/01/2020 16:00:00.000000,,7.5
09/01/2020 17:00:00.000000,,7.9
09/01/2020 18:00:00.000000,,7.6
09/01/2020 19:00:00.000000,,7.3
09/01/2020 20:00:00.000000,,7.7
09/01/2020 21:00:00.000000,,7.3
09/01/2020 22:00:00.000000,,6.2
09/01/2020 23:00:00.000000,,5.1
09/02/2020 00:00:00.000000,,4.8
09/02/2020 01:00:00.000000,,5.3
09/02/2020 02:00:00.000000,,5.6
09/02/2020 03:00:00.000000,,5.3
09/02/2020 04:00:00.000000,,5.2
09/02/2020 05:00:00.000000,,5.1
09/02/2020 06:00:00.000000,,5.3
09/02/2020 07:00:00.000000,,5.7
09/02/2020 08:00:00.000000,,6.1
09/02/2020 09:00:00.000000,,6.2
09/02/2020 10:00:00.000000,,6.0
09/02/2020 11:00:00.000000,,6.2
09/02/2020 12:00:00.000000,,6.9
09/02/2020 13:00:00.000000,,6.2
09/02/2020 14:00:00.000000,,4.9
09/02/2020 15:00:00.000000,,4.8
09/02/2020 16:00:00.000000,,5.4
09/02/2020 17:00:00.000000,,5.8
09/02/2020 18:00:00.000000,,4.9
09/02/2020 19:00:00.000000,,4.2
09/02/2020 20:00:00.000000,,3.6
09/02/2020 21:00:00.000000,,3.5
09/02/2020 22:00:00.000000,,3.6
09/02/2020 23:00:00.000000,,3.7
09/03/2020 00:00:00.000000,,3.7
09/03/2020 01:00:00.000000,,4.3
