InstrumentName, I-25 Globeville,
02/07/2022 15:00:00.000000,43.0,9.2
02/07/2022 16:00:00.000000,37.0,10.2
02/07/2022 17:00:00.000000,31.0,6.8
02/07/2022 18:00:00.000000,29.0,8.5
02/07/2022 19:00:00.000000,19.0,6.0
02/07/2022 20:00:00.000000,16.0,5.5
02/07/2022 21:00:00.000000,16.0,4.6
02/07/2022 22:00:00.000000,23.0,7.2
02/07/2022 23:00:00.000000,23.0,5.3
02/08/2022 00:00:00.000000,47.0,11.4
02/08/2022 01:00:00.000000,32.0,4.6
02/08/2022 02:00:00.000000,45.0,7.8
02/08/2022 03:00:00.000000,50.0,10.1
02/08/2022 04:00:00.000000,,7.9
02/08/2022 05:00:00.000000,33.0,5.8
02/08/2022 06:00:00.000000,33.0,6.2
02/08/2022 07:00:00.000000,37.0,3.7
02/08/2022 08:00:00.000000,44.0,4.6
02/08/2022 10:00:00.000000,47.0,5.9
02/08/2022 11:00:00.000000,28.0,5.7
02/08/2022 12:00:00.000000,35.0,4.4
02/08/2022 13:00:00.000000,49.0,8.6
02/08/2022 14:00:00.000000,35.0,8.4
02/08/2022 15:00:00.000000,24.0,5.2
02/08/2022 16:00:00.000000,15.0,4.2
02/08/2022 17:00:00.000000,8.0,2.6
02/08/2022 18:00:00.000000,8.0,3.5
02/08/2022 19:00:00.000000,25.0,7.1
02/08/2022 20:00:00.000000,19.0,5.3
02/08/2022 22:00:00.000000,20.0,4.9
02/08/2022 23:00:00.000000,16.0,4.7
02/09/2022 00:00:00.000000,28.0,7.0
02/09/2022 01:00:00.000000,46.0,10.4
02/09/2022 02:00:00.000000,49.0,11.5
02/09/2022 03:00:00.000000,41.0,5.2
02/09/2022 04:00:00.000000,,2.6
02/09/2022 05:00:00.000000,34.0,4.0
02/09/2022 06:00:00.000000,45.0,5.8
02/09/2022 07:00:00.000000,34.0,5.4
02/09/2022 08:00:00.000000,16.0,1.8
02/09/2022 10:00:00.000000,25.0,2.3
02/09/2022 11:00:00.000000,17.0,2.4
02/09/2022 12:00:00.000000,42.0,5.6
02/09/2022 13:00:00.000000,50.0,7.4
02/09/2022 14:00:00.000000,48.0,9.5
02/09/2022 15:00:00.000000,45.0,10.8
02/09/2022 16:00:00.000000,39.0,9.7
02/09/2022 17:00:00.000000,44.0,12.4
02/09/2022 18:00:00.000000,30.0,6.8
02/09/2022 19:00:00.000000,21.0,6.3
02/09/2022 20:00:00.000000,16.0,3.2
02/09/2022 21:00:00.000000,,4.4
02/09/2022 22:00:00.000000,,5.0
02/09/2022 23:00:00.000000,32.0,6.7
02/10/2022 01:00:00.000000,34.0,9.3
02/10/2022 02:00:00.000000,35.0,10.2
02/10/2022 03:00:00.000000,38.0,9.5
02/10/2022 04:00:00.000000,,6.0
02/10/2022 05:00:00.000000,9.0,2.4
02/10/2022 06:00:00.000000,9.0,1.4
02/10/2022 07:00:00.000000,14.0,1.8
02/10/2022 08:00:00.000000,19.0,2.1
02/10/2022 10:00:00.000000,16.0,1.9
02/10/2022 11:00:00.000000,17.0,2.9
02/10/2022 12:00:00.000000,28.0,6.4
02/10/2022 13:00:00.000000,35.0,9.1
02/10/2022 16:00:00.000000,40.0,13.5
02/10/2022 17:00:00.000000,34.0,11.6
02/10/2022 18:00:00.000000,31.0,9.0
02/10/2022 19:00:00.000000,27.0,6.8
02/10/2022 20:00:00.000000,26.0,5.0
02/10/2022 21:00:00.000000,26.0,5.3
02/11/2022 15:00:00.000000,23.0,4.1
02/11/2022 16:00:00.000000,13.0,3.3
02/11/2022 17:00:00.000000,8.0,2.0
02/11/2022 18:00:00.000000,10.0,2.6
02/11/2022 19:00:00.000000,9.0,2.5
02/11/2022 20:00:00.000000,9.0,5.3
02/11/2022 21:00:00.000000,10.0,1.7
02/11/2022 22:00:00.000000,19.0,3.0
02/11/2022 23:00:00.000000,36.0,9.9
02/12/2022 00:00:00.000000,26.0,7.7
02/12/2022 01:00:00.000000,16.0,2.7
02/12/2022 02:00:00.000000,19.0,4.4
02/12/2022 03:00:00.000000,7.0,1.1
02/12/2022 04:00:00.000000,,7.4
02/12/2022 05:00:00.000000,21.0,10.0
02/12/2022 06:00:00.000000,19.0,12.0
02/12/2022 07:00:00.000000,30.0,8.8
02/12/2022 08:00:00.000000,37.0,13.9
02/12/2022 10:00:00.000000,31.0,5.6
02/12/2022 11:00:00.000000,28.0,4.5
02/12/2022 12:00:00.000000,31.0,5.4
02/12/2022 13:00:00.000000,29.0,5.8
02/12/2022 14:00:00.000000,28.0,5.2
02/12/2022 15:00:00.000000,31.0,9.1
02/12/2022 16:00:00.000000,30.0,20.9
02/12/2022 17:00:00.000000,32.0,26.6
02/12/2022 18:00:00.000000,29.0,14.7
02/12/2022 19:00:00.000000,27.0,10.2
02/12/2022 20:00:00.000000,24.0,6.2
02/12/2022 21:00:00.000000,18.0,4.2
02/12/2022 22:00:00.000000,16.0,3.5
02/12/2022 23:00:00.000000,28.0,5.0
02/13/2022 00:00:00.000000,46.0,8.5
02/13/2022 01:00:00.000000,53.0,11.6
02/13/2022 02:00:00.000000,58.0,12.7
02/13/2022 03:00:00.000000,58.0,15.5
02/13/2022 04:00:00.000000,,14.7
02/13/2022 05:00:00.000000,43.0,10.4
02/13/2022 06:00:00.000000,35.0,4.8
02/13/2022 07:00:00.000000,27.0,5.2
02/13/2022 08:00:00.000000,28.0,3.0
02/13/2022 10:00:00.000000,31.0,2.9
02/13/2022 11:00:00.000000,29.0,2.2
02/13/2022 12:00:00.000000,22.0,2.1
02/13/2022 13:00:00.000000,31.0,3.1
02/13/2022 14:00:00.000000,34.0,5.0
02/13/2022 15:00:00.000000,31.0,7.5
02/13/2022 16:00:00.000000,27.0,7.1
02/13/2022 17:00:00.000000,26.0,6.7
02/13/2022 18:00:00.000000,24.0,7.0
02/13/2022 19:00:00.000000,16.0,4.9
02/13/2022 20:00:00.000000,15.0,3.1
02/13/2022 21:00:00.000000,12.0,2.4
02/13/2022 22:00:00.000000,13.0,2.8
02/13/2022 23:00:00.000000,25.0,4.1
02/14/2022 00:00:00.000000,22.0,3.4
02/14/2022 01:00:00.000000,26.0,3.7
02/14/2022 02:00:00.000000,42.0,5.8
02/14/2022 03:00:00.000000,42.0,5.9
02/14/2022 04:00:00.000000,,6.6
02/14/2022 05:00:00.000000,46.0,5.3
02/14/2022 06:00:00.000000,41.0,5.0
02/14/2022 08:00:00.000000,31.0,4.1
02/14/2022 10:00:00.000000,24.0,2.5
02/14/2022 11:00:00.000000,35.0,3.3
02/14/2022 12:00:00.000000,41.0,4.0
02/14/2022 13:00:00.000000,49.0,8.6
02/14/2022 14:00:00.000000,49.0,9.1
02/14/2022 15:00:00.000000,35.0,5.1
02/14/2022 16:00:00.000000,38.0,8.4
02/14/2022 17:00:00.000000,37.0,8.9
02/14/2022 18:00:00.000000,29.0,7.4
02/14/2022 19:00:00.000000,37.0,11.2
02/14/2022 20:00:00.000000,27.0,8.9
02/14/2022 21:00:00.000000,25.0,8.0
02/14/2022 22:00:00.000000,,9.1
02/14/2022 23:00:00.000000,36.0,11.1
02/15/2022 00:00:00.000000,44.0,14.2
02/15/2022 01:00:00.000000,48.0,16.7
02/15/2022 02:00:00.000000,48.0,17.8
02/15/2022 03:00:00.000000,47.0,17.6
02/15/2022 04:00:00.000000,,20.2
02/15/2022 05:00:00.000000,47.0,11.6
02/15/2022 06:00:00.000000,46.0,10.2
02/15/2022 07:00:00.000000,43.0,9.0
02/15/2022 08:00:00.000000,40.0,7.8
02/15/2022 10:00:00.000000,41.0,5.1
02/15/2022 11:00:00.000000,47.0,5.7
02/15/2022 12:00:00.000000,49.0,6.4
02/15/2022 13:00:00.000000,52.0,8.6
02/15/2022 14:00:00.000000,53.0,10.5
02/15/2022 15:00:00.000000,55.0,16.5
02/15/2022 16:00:00.000000,55.0,14.9
02/15/2022 17:00:00.000000,41.0,8.8
02/15/2022 18:00:00.000000,53.0,21.8
02/15/2022 19:00:00.000000,43.0,20.4
02/15/2022 20:00:00.000000,36.0,22.3
02/15/2022 21:00:00.000000,25.0,10.1
02/15/2022 22:00:00.000000,26.0,12.4
02/15/2022 23:00:00.000000,32.0,9.0
02/16/2022 00:00:00.000000,40.0,13.1
02/16/2022 01:00:00.000000,55.0,20.7
02/16/2022 02:00:00.000000,60.0,24.4
02/16/2022 03:00:00.000000,56.0,23.3
02/16/2022 04:00:00.000000,,20.8
02/16/2022 05:00:00.000000,51.0,15.9
02/16/2022 06:00:00.000000,44.0,16.5
02/16/2022 07:00:00.000000,,5.3
02/16/2022 08:00:00.000000,13.0,3.4
02/16/2022 10:00:00.000000,12.0,3.2
02/16/2022 11:00:00.000000,16.0,4.2
02/16/2022 12:00:00.000000,28.0,5.5
02/16/2022 13:00:00.000000,32.0,8.5
02/16/2022 14:00:00.000000,30.0,8.8
02/16/2022 15:00:00.000000,27.0,9.7
02/16/2022 16:00:00.000000,15.0,7.4
02/16/2022 17:00:00.000000,13.0,7.4
02/16/2022 18:00:00.000000,12.0,7.6
02/16/2022 19:00:00.000000,14.0,9.2
02/16/2022 20:00:00.000000,14.0,10.2
02/16/2022 21:00:00.000000,12.0,8.4
02/16/2022 22:00:00.000000,11.0,8.7
02/16/2022 23:00:00.000000,12.0,6.7
02/17/2022 00:00:00.000000,10.0,3.7
02/17/2022 01:00:00.000000,8.0,2.8
02/17/2022 02:00:00.000000,5.0,2.2
02/17/2022 03:00:00.000000,3.0,1.5
02/17/2022 04:00:00.000000,,1.0
02/17/2022 05:00:00.000000,4.0,1.2
02/17/2022 06:00:00.000000,5.0,1.4
02/17/2022 07:00:00.000000,7.0,1.9
02/17/2022 08:00:00.000000,13.0,3.1
02/17/2022 10:00:00.000000,27.0,6.6
02/17/2022 11:00:00.000000,40.0,7.9
02/17/2022 12:00:00.000000,36.0,7.7
02/17/2022 13:00:00.000000,41.0,11.8
02/17/2022 14:00:00.000000,39.0,12.6
02/17/2022 15:00:00.000000,33.0,12.9
02/17/2022 16:00:00.000000,27.0,20.1
02/17/2022 17:00:00.000000,29.0,35.3
02/17/2022 18:00:00.000000,27.0,24.3
02/17/2022 19:00:00.000000,26.0,16.0
02/17/2022 20:00:00.000000,13.0,7.4
02/17/2022 21:00:00.000000,6.0,4.5
02/17/2022 22:00:00.000000,13.0,5.9
02/17/2022 23:00:00.000000,25.0,7.3
02/18/2022 00:00:00.000000,32.0,7.6
02/18/2022 01:00:00.000000,35.0,8.8
02/18/2022 02:00:00.000000,35.0,10.1
02/18/2022 03:00:00.000000,33.0,9.8
02/18/2022 04:00:00.000000,,10.8
02/18/2022 05:00:00.000000,43.0,9.9
02/18/2022 06:00:00.000000,40.0,10.1
02/18/2022 07:00:00.000000,38.0,8.1
02/18/2022 08:00:00.000000,43.0,7.9
02/18/2022 10:00:00.000000,37.0,5.9
02/18/2022 11:00:00.000000,45.0,7.2
02/18/2022 12:00:00.000000,50.0,6.7
02/18/2022 13:00:00.000000,44.0,7.3
02/18/2022 14:00:00.000000,45.0,10.9
02/18/2022 15:00:00.000000,42.0,13.7
02/18/2022 16:00:00.000000,43.0,14.6
02/18/2022 17:00:00.000000,30.0,8.0
02/18/2022 18:00:00.000000,31.0,11.5
02/18/2022 19:00:00.000000,30.0,11.0
02/18/2022 20:00:00.000000,27.0,7.8
02/18/2022 21:00:00.000000,18.0,4.8
02/18/2022 22:00:00.000000,17.0,6.7
02/18/2022 23:00:00.000000,16.0,5.4
02/19/2022 00:00:00.000000,26.0,10.0
02/19/2022 01:00:00.000000,49.0,18.0
02/19/2022 02:00:00.000000,48.0,19.1
02/19/2022 03:00:00.000000,48.0,18.0
02/19/2022 04:00:00.000000,,13.4
02/19/2022 05:00:00.000000,32.0,8.7
02/19/2022 06:00:00.000000,27.0,6.6
02/19/2022 07:00:00.000000,26.0,6.1
02/19/2022 08:00:00.000000,28.0,5.6
02/19/2022 10:00:00.000000,23.0,3.8
02/19/2022 11:00:00.000000,23.0,3.3
02/19/2022 12:00:00.000000,27.0,4.7
02/19/2022 13:00:00.000000,33.0,4.3
02/19/2022 14:00:00.000000,32.0,5.9
02/19/2022 15:00:00.000000,34.0,9.4
02/19/2022 16:00:00.000000,29.0,12.6
02/19/2022 17:00:00.000000,27.0,8.9
02/19/2022 18:00:00.000000,25.0,7.1
02/19/2022 19:00:00.000000,23.0,10.7
02/19/2022 20:00:00.000000,11.0,2.1
02/19/2022 21:00:00.000000,14.0,2.8
02/19/2022 22:00:00.000000,19.0,4.8
02/19/2022 23:00:00.000000,21.0,4.0
02/20/2022 00:00:00.000000,34.0,5.4
02/20/2022 01:00:00.000000,30.0,4.3
02/20/2022 02:00:00.000000,17.0,1.7
02/20/2022 03:00:00.000000,23.0,2.0
02/20/2022 04:00:00.000000,,3.1
02/20/2022 05:00:00.000000,42.0,8.3
02/20/2022 06:00:00.000000,34.0,4.0
02/20/2022 07:00:00.000000,38.0,5.3
02/20/2022 10:00:00.000000,53.0,7.2
02/20/2022 11:00:00.000000,37.0,3.4
02/20/2022 12:00:00.000000,48.0,4.5
02/20/2022 13:00:00.000000,47.0,3.8
02/20/2022 14:00:00.000000,28.0,2.5
02/20/2022 15:00:00.000000,31.0,3.5
02/20/2022 16:00:00.000000,33.0,4.4
02/20/2022 17:00:00.000000,28.0,4.3
02/20/2022 18:00:00.000000,18.0,2.7
02/20/2022 19:00:00.000000,10.0,1.4
02/20/2022 20:00:00.000000,17.0,2.0
02/20/2022 21:00:00.000000,11.0,1.2
02/20/2022 22:00:00.000000,5.0,1.1
02/20/2022 23:00:00.000000,5.0,1.4
02/21/2022 00:00:00.000000,17.0,2.7
02/21/2022 01:00:00.000000,42.0,6.2
02/21/2022 02:00:00.000000,45.0,7.8
02/21/2022 03:00:00.000000,52.0,14.2
02/21/2022 04:00:00.000000,,13.8
02/21/2022 05:00:00.000000,44.0,8.7
02/21/2022 06:00:00.000000,39.0,4.0
02/21/2022 07:00:00.000000,36.0,2.6
02/21/2022 08:00:00.000000,34.0,3.5
02/21/2022 10:00:00.000000,47.0,5.5
02/21/2022 11:00:00.000000,38.0,3.4
02/21/2022 12:00:00.000000,43.0,5.5
02/21/2022 13:00:00.000000,43.0,11.4
02/21/2022 14:00:00.000000,44.0,12.4
02/21/2022 15:00:00.000000,40.0,12.8
02/21/2022 16:00:00.000000,40.0,11.6
02/21/2022 17:00:00.000000,37.0,10.8
02/21/2022 18:00:00.000000,16.0,10.7
02/21/2022 19:00:00.000000,4.0,7.3
02/21/2022 20:00:00.000000,6.0,8.1
02/21/2022 21:00:00.000000,7.0,7.8
02/21/2022 22:00:00.000000,9.0,7.2
02/21/2022 23:00:00.000000,8.0,6.9
02/22/2022 00:00:00.000000,5.0,5.9
02/22/2022 01:00:00.000000,5.0,5.7
02/22/2022 02:00:00.000000,4.0,5.0
02/22/2022 03:00:00.000000,4.0,4.8
02/22/2022 04:00:00.000000,,9.1
02/22/2022 05:00:00.000000,3.0,3.0
02/22/2022 06:00:00.000000,5.0,4.0
02/22/2022 07:00:00.000000,4.0,3.4
02/22/2022 08:00:00.000000,4.0,3.2
02/22/2022 10:00:00.000000,5.0,3.3
02/22/2022 11:00:00.000000,7.0,3.6
02/22/2022 12:00:00.000000,5.0,4.0
02/22/2022 13:00:00.000000,9.0,4.7
02/22/2022 14:00:00.000000,10.0,6.3
02/22/2022 15:00:00.000000,11.0,11.0
02/22/2022 16:00:00.000000,12.0,8.4
02/22/2022 17:00:00.000000,8.0,4.7
02/22/2022 18:00:00.000000,7.0,7.1
02/22/2022 19:00:00.000000,11.0,16.3
02/22/2022 20:00:00.000000,,21.3
02/22/2022 21:00:00.000000,11.0,12.9
02/22/2022 22:00:00.000000,11.0,16.7
02/22/2022 23:00:00.000000,17.0,10.9
02/23/2022 00:00:00.000000,12.0,9.2
02/23/2022 01:00:00.000000,11.0,5.2
02/23/2022 02:00:00.000000,8.0,4.3
02/23/2022 03:00:00.000000,8.0,4.6
02/23/2022 04:00:00.000000,,4.9
02/23/2022 05:00:00.000000,9.0,5.0
02/23/2022 06:00:00.000000,8.0,3.5
02/23/2022 07:00:00.000000,11.0,3.3
02/23/2022 08:00:00.000000,13.0,3.2
02/23/2022 10:00:00.000000,13.0,2.9
02/23/2022 12:00:00.000000,18.0,3.6
02/23/2022 13:00:00.000000,24.0,4.2
02/23/2022 14:00:00.000000,23.0,4.9
02/23/2022 15:00:00.000000,20.0,4.8
02/23/2022 16:00:00.000000,19.0,4.9
02/23/2022 17:00:00.000000,18.0,7.4
02/23/2022 18:00:00.000000,22.0,
02/23/2022 19:00:00.000000,21.0,8.8
02/23/2022 20:00:00.000000,18.0,8.7
02/23/2022 21:00:00.000000,23.0,8.7
02/23/2022 22:00:00.000000,25.0,8.5
02/23/2022 23:00:00.000000,26.0,8.8
02/24/2022 00:00:00.000000,27.0,7.9
02/24/2022 01:00:00.000000,25.0,7.7
02/24/2022 02:00:00.000000,24.0,8.6
02/24/2022 03:00:00.000000,24.0,8.4
02/24/2022 04:00:00.000000,,9.1
02/24/2022 05:00:00.000000,26.0,9.6
02/24/2022 06:00:00.000000,23.0,9.2
02/24/2022 08:00:00.000000,28.0,9.3
02/24/2022 10:00:00.000000,17.0,6.9
02/24/2022 11:00:00.000000,17.0,7.9
02/24/2022 12:00:00.000000,28.0,11.5
02/24/2022 13:00:00.000000,32.0,10.7
02/24/2022 14:00:00.000000,24.0,9.0
02/24/2022 15:00:00.000000,25.0,9.4
02/24/2022 16:00:00.000000,23.0,11.3
02/24/2022 17:00:00.000000,22.0,14.8
02/24/2022 18:00:00.000000,25.0,16.7
02/24/2022 19:00:00.000000,25.0,14.3
02/24/2022 20:00:00.000000,24.0,13.2
02/24/2022 21:00:00.000000,21.0,11.8
02/24/2022 22:00:00.000000,22.0,11.2
02/25/2022 01:00:00.000000,25.0,7.9
02/25/2022 02:00:00.000000,44.0,9.9
02/25/2022 03:00:00.000000,49.0,10.4
02/25/2022 05:00:00.000000,48.0,17.5
02/25/2022 06:00:00.000000,51.0,17.8
02/25/2022 07:00:00.000000,47.0,16.9
02/25/2022 08:00:00.000000,47.0,17.8
02/25/2022 10:00:00.000000,51.0,18.9
02/25/2022 11:00:00.000000,44.0,16.9
02/25/2022 12:00:00.000000,44.0,17.2
02/25/2022 13:00:00.000000,52.0,19.1
02/25/2022 14:00:00.000000,44.0,19.5
02/25/2022 15:00:00.000000,45.0,28.8
02/25/2022 16:00:00.000000,41.0,32.0
02/25/2022 17:00:00.000000,35.0,28.2
02/25/2022 18:00:00.000000,28.0,24.2
02/25/2022 19:00:00.000000,29.0,24.3
02/25/2022 21:00:00.000000,21.0,17.4
02/25/2022 22:00:00.000000,21.0,16.3
02/25/2022 23:00:00.000000,34.0,18.0
02/26/2022 00:00:00.000000,39.0,16.7
02/26/2022 01:00:00.000000,40.0,18.0
02/26/2022 02:00:00.000000,36.0,18.7
02/26/2022 03:00:00.000000,,22.3
02/26/2022 05:00:00.000000,59.0,23.2
02/26/2022 06:00:00.000000,57.0,31.2
02/26/2022 07:00:00.000000,51.0,32.1
02/26/2022 08:00:00.000000,47.0,26.2
02/26/2022 10:00:00.000000,37.0,24.3
02/26/2022 11:00:00.000000,42.0,22.9
02/26/2022 12:00:00.000000,48.0,19.1
02/26/2022 13:00:00.000000,49.0,20.1
02/26/2022 14:00:00.000000,45.0,19.9
02/26/2022 15:00:00.000000,41.0,29.9
02/26/2022 16:00:00.000000,33.0,18.9
02/26/2022 17:00:00.000000,24.0,13.4
02/26/2022 18:00:00.000000,28.0,20.4
02/26/2022 19:00:00.000000,16.0,11.1
02/26/2022 20:00:00.000000,14.0,9.8
02/26/2022 21:00:00.000000,17.0,11.7
02/26/2022 22:00:00.000000,11.0,7.4
02/26/2022 23:00:00.000000,13.0,14.0
02/27/2022 00:00:00.000000,22.0,25.2
02/27/2022 01:00:00.000000,45.0,30.5
02/27/2022 02:00:00.000000,60.0,27.9
02/27/2022 03:00:00.000000,58.0,30.7
02/27/2022 05:00:00.000000,49.0,22.2
02/27/2022 06:00:00.000000,37.0,13.9
02/27/2022 07:00:00.000000,34.0,9.7
02/27/2022 08:00:00.000000,27.0,5.5
02/27/2022 10:00:00.000000,49.0,11.6
02/27/2022 11:00:00.000000,59.0,13.7
02/27/2022 12:00:00.000000,46.0,6.7
02/27/2022 13:00:00.000000,42.0,5.5
02/27/2022 14:00:00.000000,31.0,4.9
02/27/2022 15:00:00.000000,24.0,5.7
02/27/2022 16:00:00.000000,22.0,6.1
