InstrumentName, NJH
07/14/2021 07:00:00,12.3
07/14/2021 08:00:00,13.1
07/14/2021 09:00:00,14.2
07/14/2021 10:00:00,17.8
07/14/2021 11:00:00,17.3
07/14/2021 12:00:00,16.5
07/14/2021 13:00:00,16.3
07/14/2021 14:00:00,15.3
07/14/2021 16:00:00,17.1
07/14/2021 17:00:00,16.5
07/14/2021 18:00:00,14.9
07/14/2021 19:00:00,15.8
07/14/2021 20:00:00,18.0
07/15/2021 14:00:00,10.4
07/15/2021 15:00:00,11.0
07/15/2021 16:00:00,12.2
07/15/2021 17:00:00,13.4
07/15/2021 18:00:00,13.4
07/15/2021 19:00:00,13.7
07/15/2021 20:00:00,14.3
07/15/2021 21:00:00,15.8
07/15/2021 22:00:00,16.7
07/15/2021 23:00:00,15.7
07/16/2021 00:00:00,16.5
07/16/2021 01:00:00,17.5
07/16/2021 02:00:00,18.1
07/16/2021 03:00:00,17.1
07/16/2021 04:00:00,12.4
07/16/2021 05:00:00,15.9
07/16/2021 06:00:00,18.0
07/16/2021 07:00:00,17.0
07/16/2021 08:00:00,15.6
07/16/2021 09:00:00,15.3
07/16/2021 10:00:00,16.6
07/16/2021 11:00:00,18.3
07/16/2021 12:00:00,18.7
07/16/2021 13:00:00,15.5
07/16/2021 14:00:00,16.3
07/16/2021 15:00:00,18.1
07/16/2021 16:00:00,18.7
07/16/2021 17:00:00,18.9
07/16/2021 18:00:00,18.6
07/16/2021 19:00:00,15.8
07/16/2021 20:00:00,15.1
07/16/2021 21:00:00,16.8
07/16/2021 22:00:00,16.0
07/16/2021 23:00:00,15.3
07/17/2021 00:00:00,16.0
07/17/2021 01:00:00,15.9
07/17/2021 02:00:00,13.3
07/17/2021 03:00:00,14.3
07/17/2021 04:00:00,15.8
07/17/2021 05:00:00,16.9
07/17/2021 06:00:00,12.7
07/17/2021 07:00:00,12.8
07/17/2021 08:00:00,12.2
07/17/2021 09:00:00,12.9
07/17/2021 10:00:00,13.6
07/17/2021 11:00:00,14.0
07/17/2021 12:00:00,14.5
07/17/2021 13:00:00,15.4
07/17/2021 14:00:00,17.1
07/17/2021 15:00:00,20.7
07/17/2021 16:00:00,19.1
07/17/2021 17:00:00,17.8
07/17/2021 18:00:00,16.3
07/17/2021 19:00:00,16.6
07/17/2021 20:00:00,15.6
07/17/2021 21:00:00,15.0
07/17/2021 22:00:00,15.1
07/17/2021 23:00:00,14.8
07/18/2021 00:00:00,14.3
07/18/2021 01:00:00,13.9
07/18/2021 02:00:00,9.9
07/18/2021 03:00:00,10.2
07/18/2021 04:00:00,11.1
07/18/2021 05:00:00,11.8
07/18/2021 06:00:00,10.1
07/18/2021 07:00:00,8.4
07/18/2021 08:00:00,8.8
07/18/2021 09:00:00,11.2
07/18/2021 10:00:00,12.9
07/18/2021 11:00:00,12.6
07/18/2021 12:00:00,12.2
07/18/2021 13:00:00,12.4
07/18/2021 14:00:00,14.9
07/18/2021 15:00:00,13.3
07/18/2021 16:00:00,13.9
07/18/2021 17:00:00,13.5
07/18/2021 18:00:00,12.9
07/18/2021 19:00:00,11.8
07/18/2021 20:00:00,11.2
07/18/2021 21:00:00,10.5
07/18/2021 22:00:00,10.3
07/18/2021 23:00:00,10.1
07/19/2021 00:00:00,10.8
07/19/2021 01:00:00,10.8
07/19/2021 02:00:00,10.7
07/19/2021 03:00:00,10.2
07/19/2021 04:00:00,10.7
07/19/2021 05:00:00,11.1
07/19/2021 06:00:00,10.8
07/19/2021 07:00:00,10.3
07/19/2021 08:00:00,11.4
07/19/2021 09:00:00,11.2
07/19/2021 10:00:00,11.7
07/19/2021 11:00:00,11.7
07/19/2021 12:00:00,11.5
07/19/2021 13:00:00,12.0
07/19/2021 14:00:00,12.6
07/19/2021 15:00:00,14.0
07/19/2021 16:00:00,13.6
07/19/2021 17:00:00,13.0
07/19/2021 18:00:00,20.7
07/19/2021 19:00:00,19.9
07/19/2021 20:00:00,19.3
07/19/2021 21:00:00,18.0
07/19/2021 22:00:00,17.6
07/19/2021 23:00:00,19.0
07/20/2021 00:00:00,20.4
07/20/2021 01:00:00,20.9
07/20/2021 02:00:00,22.8
07/20/2021 03:00:00,21.8
07/20/2021 04:00:00,19.2
07/20/2021 05:00:00,19.9
07/20/2021 06:00:00,20.0
07/20/2021 07:00:00,20.3
07/20/2021 08:00:00,19.4
07/20/2021 09:00:00,19.9
07/20/2021 10:00:00,20.2
07/20/2021 11:00:00,21.3
07/20/2021 12:00:00,21.2
07/20/2021 13:00:00,22.1
07/20/2021 14:00:00,24.4
07/20/2021 15:00:00,23.5
07/20/2021 16:00:00,22.5
07/20/2021 17:00:00,21.7
07/20/2021 18:00:00,18.6
07/20/2021 19:00:00,18.7
07/20/2021 20:00:00,18.5
07/20/2021 21:00:00,17.9
07/20/2021 22:00:00,17.2
07/20/2021 23:00:00,18.5
07/21/2021 00:00:00,19.6
07/21/2021 01:00:00,19.0
07/21/2021 02:00:00,17.0
07/21/2021 03:00:00,15.1
07/21/2021 04:00:00,13.3
07/21/2021 05:00:00,13.7
07/21/2021 06:00:00,14.4
07/21/2021 07:00:00,14.9
07/21/2021 08:00:00,15.0
07/21/2021 09:00:00,14.7
07/21/2021 10:00:00,15.5
07/21/2021 11:00:00,16.1
07/21/2021 12:00:00,15.4
07/21/2021 13:00:00,15.9
07/21/2021 14:00:00,15.5
07/21/2021 15:00:00,14.7
07/21/2021 16:00:00,14.9
07/21/2021 17:00:00,16.2
07/21/2021 18:00:00,16.7
07/21/2021 19:00:00,15.5
07/21/2021 20:00:00,11.1
07/21/2021 21:00:00,9.1
07/21/2021 22:00:00,9.0
07/21/2021 23:00:00,11.5
07/22/2021 00:00:00,12.4
07/22/2021 01:00:00,11.1
07/22/2021 02:00:00,9.0
07/22/2021 03:00:00,7.7
07/22/2021 04:00:00,7.2
07/22/2021 05:00:00,6.1
07/22/2021 06:00:00,6.0
07/22/2021 07:00:00,5.4
07/22/2021 08:00:00,5.7
07/22/2021 09:00:00,6.6
07/22/2021 10:00:00,6.8
07/22/2021 11:00:00,7.3
07/22/2021 12:00:00,8.1
07/22/2021 13:00:00,8.3
07/22/2021 14:00:00,8.5
07/22/2021 15:00:00,9.9
07/22/2021 16:00:00,11.2
07/22/2021 17:00:00,11.2
07/22/2021 18:00:00,8.8
07/22/2021 19:00:00,9.2
07/22/2021 20:00:00,9.7
07/22/2021 21:00:00,9.3
07/22/2021 22:00:00,7.7
07/22/2021 23:00:00,8.6
07/23/2021 00:00:00,10.5
07/23/2021 01:00:00,10.7
07/23/2021 02:00:00,10.8
07/23/2021 03:00:00,8.8
07/23/2021 04:00:00,8.3
07/23/2021 05:00:00,7.3
07/23/2021 06:00:00,6.3
07/23/2021 07:00:00,6.7
07/23/2021 08:00:00,7.1
07/23/2021 09:00:00,7.4
07/23/2021 10:00:00,7.7
07/23/2021 11:00:00,8.6
07/23/2021 12:00:00,9.2
07/23/2021 13:00:00,10.0
07/23/2021 14:00:00,10.3
07/23/2021 15:00:00,8.9
07/23/2021 16:00:00,7.6
07/23/2021 17:00:00,7.6
07/23/2021 18:00:00,8.7
07/23/2021 19:00:00,8.5
07/23/2021 20:00:00,8.2
07/23/2021 21:00:00,10.8
07/23/2021 22:00:00,10.9
07/23/2021 23:00:00,10.0
07/24/2021 00:00:00,8.9
07/24/2021 01:00:00,7.2
07/24/2021 02:00:00,8.8
07/24/2021 03:00:00,7.7
07/24/2021 04:00:00,8.2
07/24/2021 05:00:00,6.8
07/24/2021 06:00:00,6.2
07/24/2021 07:00:00,5.4
07/24/2021 08:00:00,5.2
07/24/2021 09:00:00,4.6
07/24/2021 10:00:00,5.2
07/24/2021 11:00:00,5.8
07/24/2021 12:00:00,8.7
07/24/2021 13:00:00,11.9
07/24/2021 14:00:00,11.7
07/24/2021 15:00:00,12.6
07/24/2021 16:00:00,12.4
07/24/2021 17:00:00,13.5
07/24/2021 18:00:00,15.9
07/24/2021 19:00:00,29.1
07/24/2021 20:00:00,33.4
07/24/2021 21:00:00,43.0
07/24/2021 22:00:00,47.7
07/24/2021 23:00:00,42.3
07/25/2021 00:00:00,38.9
07/25/2021 01:00:00,36.4
07/25/2021 02:00:00,37.9
07/25/2021 03:00:00,40.3
07/25/2021 04:00:00,41.0
07/25/2021 05:00:00,39.5
07/25/2021 06:00:00,39.9
07/25/2021 07:00:00,39.4
07/25/2021 08:00:00,39.7
07/25/2021 09:00:00,40.0
07/25/2021 10:00:00,38.8
07/25/2021 11:00:00,33.0
07/25/2021 12:00:00,28.7
07/25/2021 13:00:00,31.6
07/25/2021 14:00:00,31.5
07/25/2021 15:00:00,31.2
07/25/2021 16:00:00,30.9
07/25/2021 17:00:00,28.8
07/25/2021 18:00:00,23.2
07/25/2021 19:00:00,17.5
07/25/2021 20:00:00,15.0
07/25/2021 21:00:00,15.4
07/25/2021 22:00:00,15.7
07/25/2021 23:00:00,12.2
07/26/2021 00:00:00,8.9
07/26/2021 01:00:00,10.0
07/26/2021 02:00:00,10.6
07/26/2021 03:00:00,11.6
07/26/2021 04:00:00,12.5
07/26/2021 05:00:00,14.2
07/26/2021 06:00:00,15.2
07/26/2021 09:00:00,17.2
07/26/2021 10:00:00,18.0
07/26/2021 11:00:00,18.3
07/26/2021 12:00:00,18.6
07/26/2021 13:00:00,19.6
07/26/2021 14:00:00,16.7
07/26/2021 15:00:00,16.2
07/26/2021 16:00:00,17.5
07/26/2021 17:00:00,17.7
07/26/2021 18:00:00,18.7
07/26/2021 19:00:00,20.4
07/26/2021 20:00:00,17.9
07/26/2021 21:00:00,16.5
07/26/2021 22:00:00,16.0
07/26/2021 23:00:00,15.4
07/27/2021 00:00:00,14.8
07/27/2021 01:00:00,14.3
07/27/2021 02:00:00,14.0
07/27/2021 03:00:00,12.0
07/27/2021 04:00:00,10.5
07/27/2021 05:00:00,9.2
07/27/2021 06:00:00,10.9
07/27/2021 07:00:00,9.6
07/27/2021 08:00:00,11.3
07/27/2021 09:00:00,13.7
07/27/2021 10:00:00,15.9
07/27/2021 11:00:00,15.8
07/27/2021 12:00:00,15.9
07/27/2021 13:00:00,15.6
07/27/2021 14:00:00,15.6
07/27/2021 15:00:00,15.0
07/27/2021 16:00:00,15.1
07/27/2021 17:00:00,14.0
07/27/2021 18:00:00,12.3
07/27/2021 19:00:00,11.0
07/27/2021 20:00:00,9.6
07/27/2021 21:00:00,10.1
07/27/2021 22:00:00,10.2
07/27/2021 23:00:00,9.2
07/28/2021 00:00:00,7.9
07/28/2021 01:00:00,7.5
07/28/2021 02:00:00,7.4
07/28/2021 03:00:00,6.9
07/28/2021 04:00:00,6.7
07/28/2021 05:00:00,5.6
07/28/2021 06:00:00,4.8
07/28/2021 07:00:00,5.5
07/28/2021 08:00:00,6.5
07/28/2021 09:00:00,5.7
07/28/2021 10:00:00,5.5
07/28/2021 11:00:00,5.7
07/28/2021 12:00:00,8.6
07/28/2021 13:00:00,10.7
07/28/2021 14:00:00,10.4
07/28/2021 15:00:00,10.0
07/28/2021 16:00:00,10.7
07/28/2021 17:00:00,12.5
07/28/2021 18:00:00,11.6
07/28/2021 19:00:00,13.3
07/28/2021 20:00:00,14.3
07/28/2021 21:00:00,15.3
07/28/2021 22:00:00,15.4
07/28/2021 23:00:00,14.8
07/29/2021 00:00:00,14.4
07/29/2021 01:00:00,13.9
07/29/2021 02:00:00,10.3
07/29/2021 03:00:00,7.8
07/29/2021 04:00:00,9.8
07/29/2021 05:00:00,15.2
07/29/2021 06:00:00,16.5
07/29/2021 09:00:00,15.0
07/29/2021 10:00:00,14.5
07/29/2021 11:00:00,14.7
07/29/2021 12:00:00,9.7
07/29/2021 13:00:00,9.0
07/29/2021 14:00:00,12.5
07/29/2021 15:00:00,18.8
07/29/2021 16:00:00,19.6
07/29/2021 17:00:00,20.7
07/29/2021 18:00:00,20.5
07/29/2021 19:00:00,19.9
07/29/2021 20:00:00,18.4
07/29/2021 21:00:00,15.6
07/29/2021 22:00:00,11.7
07/29/2021 23:00:00,10.0
07/30/2021 00:00:00,7.9
07/30/2021 01:00:00,7.2
07/30/2021 02:00:00,6.8
07/30/2021 03:00:00,7.5
07/30/2021 04:00:00,8.0
07/30/2021 05:00:00,7.6
07/30/2021 06:00:00,7.2
07/30/2021 07:00:00,7.2
07/30/2021 08:00:00,7.0
07/30/2021 09:00:00,7.2
07/30/2021 10:00:00,8.2
07/30/2021 11:00:00,9.6
07/30/2021 12:00:00,11.1
07/30/2021 13:00:00,10.9
07/30/2021 14:00:00,10.3
07/30/2021 15:00:00,12.0
07/30/2021 16:00:00,14.9
07/30/2021 17:00:00,16.0
07/30/2021 18:00:00,16.3
07/30/2021 19:00:00,17.2
07/30/2021 20:00:00,15.8
07/30/2021 21:00:00,15.7
07/30/2021 22:00:00,13.5
07/30/2021 23:00:00,15.6
07/31/2021 00:00:00,22.5
07/31/2021 01:00:00,13.9
07/31/2021 02:00:00,12.2
07/31/2021 03:00:00,12.6
07/31/2021 04:00:00,10.0
07/31/2021 05:00:00,8.2
07/31/2021 06:00:00,6.9
07/31/2021 07:00:00,6.0
07/31/2021 08:00:00,5.8
07/31/2021 09:00:00,5.9
07/31/2021 10:00:00,6.2
07/31/2021 11:00:00,6.9
07/31/2021 12:00:00,7.5
07/31/2021 13:00:00,8.4
07/31/2021 14:00:00,12.1
07/31/2021 15:00:00,17.1
07/31/2021 16:00:00,18.9
07/31/2021 17:00:00,21.0
07/31/2021 18:00:00,22.7
07/31/2021 19:00:00,22.9
07/31/2021 20:00:00,20.6
07/31/2021 21:00:00,21.3
07/31/2021 22:00:00,21.6
07/31/2021 23:00:00,21.5
                
