InstrumentName, Rocky Flats - North
05/06/2020 11:00:00.000000,43.0
05/06/2020 13:00:00.000000,39.0
05/06/2020 14:00:00.000000,41.0
05/06/2020 15:00:00.000000,42.0
05/06/2020 16:00:00.000000,44.0
05/06/2020 17:00:00.000000,49.0
05/06/2020 18:00:00.000000,51.0
05/06/2020 19:00:00.000000,55.0
05/06/2020 20:00:00.000000,61.0
05/06/2020 21:00:00.000000,63.0
05/06/2020 22:00:00.000000,63.0
05/06/2020 23:00:00.000000,61.0
05/07/2020 00:00:00.000000,60.0
05/07/2020 01:00:00.000000,61.0
05/07/2020 02:00:00.000000,63.0
05/07/2020 03:00:00.000000,63.0
05/07/2020 17:00:00.000000,56.0
05/07/2020 18:00:00.000000,59.0
05/07/2020 19:00:00.000000,60.0
05/07/2020 20:00:00.000000,63.0
05/07/2020 21:00:00.000000,58.0
05/07/2020 22:00:00.000000,56.0
05/07/2020 23:00:00.000000,63.0
05/08/2020 00:00:00.000000,69.0
05/08/2020 01:00:00.000000,66.0
05/08/2020 02:00:00.000000,61.0
05/08/2020 03:00:00.000000,40.0
05/08/2020 04:00:00.000000,38.0
05/08/2020 05:00:00.000000,34.0
05/08/2020 06:00:00.000000,35.0
05/08/2020 07:00:00.000000,35.0
05/08/2020 08:00:00.000000,33.0
05/08/2020 09:00:00.000000,35.0
05/08/2020 10:00:00.000000,33.0
05/08/2020 11:00:00.000000,36.0
05/08/2020 12:00:00.000000,35.0
05/08/2020 13:00:00.000000,37.0
05/08/2020 14:00:00.000000,39.0
05/08/2020 15:00:00.000000,39.0
05/08/2020 16:00:00.000000,36.0
05/08/2020 17:00:00.000000,38.0
05/08/2020 18:00:00.000000,42.0
05/08/2020 19:00:00.000000,47.0
05/08/2020 20:00:00.000000,51.0
05/08/2020 21:00:00.000000,55.0
05/08/2020 22:00:00.000000,57.0
05/08/2020 23:00:00.000000,57.0
05/09/2020 00:00:00.000000,54.0
05/09/2020 01:00:00.000000,51.0
05/09/2020 02:00:00.000000,49.0
05/09/2020 03:00:00.000000,50.0
05/09/2020 04:00:00.000000,48.0
05/09/2020 05:00:00.000000,41.0
05/09/2020 06:00:00.000000,43.0
05/09/2020 07:00:00.000000,38.0
05/09/2020 08:00:00.000000,40.0
05/09/2020 09:00:00.000000,39.0
05/09/2020 10:00:00.000000,38.0
05/09/2020 11:00:00.000000,38.0
05/09/2020 12:00:00.000000,40.0
05/09/2020 13:00:00.000000,43.0
05/09/2020 14:00:00.000000,45.0
05/09/2020 15:00:00.000000,47.0
05/09/2020 16:00:00.000000,48.0
05/09/2020 17:00:00.000000,48.0
05/09/2020 18:00:00.000000,50.0
05/09/2020 19:00:00.000000,51.0
05/09/2020 20:00:00.000000,51.0
05/09/2020 21:00:00.000000,49.0
05/09/2020 22:00:00.000000,48.0
05/09/2020 23:00:00.000000,45.0
05/10/2020 00:00:00.000000,42.0
05/10/2020 01:00:00.000000,39.0
05/10/2020 02:00:00.000000,38.0
05/10/2020 03:00:00.000000,39.0
05/10/2020 04:00:00.000000,39.0
05/10/2020 05:00:00.000000,37.0
05/10/2020 06:00:00.000000,36.0
05/10/2020 07:00:00.000000,36.0
05/10/2020 08:00:00.000000,35.0
05/10/2020 09:00:00.000000,35.0
05/10/2020 10:00:00.000000,35.0
05/10/2020 11:00:00.000000,28.0
05/10/2020 12:00:00.000000,29.0
05/10/2020 13:00:00.000000,29.0
05/10/2020 14:00:00.000000,30.0
05/10/2020 15:00:00.000000,33.0
05/10/2020 16:00:00.000000,38.0
05/10/2020 17:00:00.000000,40.0
05/10/2020 18:00:00.000000,43.0
05/10/2020 19:00:00.000000,46.0
05/10/2020 20:00:00.000000,46.0
05/10/2020 21:00:00.000000,47.0
05/10/2020 22:00:00.000000,48.0
05/10/2020 23:00:00.000000,49.0
05/11/2020 00:00:00.000000,45.0
05/11/2020 01:00:00.000000,44.0
05/11/2020 02:00:00.000000,44.0
05/11/2020 03:00:00.000000,42.0
05/11/2020 04:00:00.000000,41.0
05/11/2020 05:00:00.000000,37.0
05/11/2020 06:00:00.000000,34.0
05/11/2020 07:00:00.000000,33.0
05/11/2020 08:00:00.000000,32.0
05/11/2020 09:00:00.000000,31.0
05/11/2020 10:00:00.000000,29.0
05/11/2020 11:00:00.000000,27.0
05/11/2020 12:00:00.000000,28.0
05/11/2020 13:00:00.000000,27.0
05/11/2020 14:00:00.000000,26.0
05/11/2020 16:00:00.000000,26.0
05/11/2020 17:00:00.000000,23.0
05/11/2020 18:00:00.000000,23.0
05/11/2020 19:00:00.000000,21.0
05/11/2020 20:00:00.000000,22.0
05/11/2020 21:00:00.000000,24.0
05/11/2020 22:00:00.000000,27.0
05/11/2020 23:00:00.000000,28.0
05/12/2020 00:00:00.000000,24.0
05/12/2020 01:00:00.000000,21.0
05/12/2020 02:00:00.000000,21.0
05/12/2020 03:00:00.000000,19.0
05/12/2020 04:00:00.000000,17.0
05/12/2020 05:00:00.000000,15.0
05/12/2020 06:00:00.000000,13.0
05/12/2020 07:00:00.000000,17.0
05/12/2020 08:00:00.000000,18.0
05/12/2020 09:00:00.000000,17.0
05/12/2020 10:00:00.000000,17.0
05/12/2020 11:00:00.000000,19.0
05/12/2020 12:00:00.000000,18.0
05/12/2020 13:00:00.000000,17.0
05/12/2020 14:00:00.000000,14.0
05/12/2020 15:00:00.000000,13.0
05/12/2020 18:00:00.000000,28.0
05/12/2020 19:00:00.000000,29.0
05/12/2020 20:00:00.000000,45.0
05/12/2020 21:00:00.000000,52.0
05/12/2020 22:00:00.000000,54.0
05/12/2020 23:00:00.000000,57.0
05/13/2020 00:00:00.000000,56.0
05/13/2020 01:00:00.000000,53.0
05/13/2020 02:00:00.000000,50.0
05/13/2020 03:00:00.000000,50.0
05/13/2020 04:00:00.000000,45.0
05/13/2020 05:00:00.000000,44.0
05/13/2020 06:00:00.000000,45.0
05/13/2020 07:00:00.000000,36.0
05/13/2020 08:00:00.000000,35.0
05/13/2020 09:00:00.000000,30.0
05/13/2020 10:00:00.000000,29.0
05/13/2020 11:00:00.000000,40.0
05/13/2020 12:00:00.000000,40.0
05/13/2020 13:00:00.000000,39.0
05/13/2020 14:00:00.000000,40.0
05/13/2020 15:00:00.000000,41.0
05/13/2020 16:00:00.000000,43.0
05/13/2020 17:00:00.000000,46.0
05/13/2020 18:00:00.000000,48.0
05/13/2020 19:00:00.000000,52.0
05/13/2020 20:00:00.000000,57.0
05/13/2020 21:00:00.000000,60.0
05/13/2020 22:00:00.000000,56.0
05/13/2020 23:00:00.000000,58.0
05/14/2020 00:00:00.000000,58.0
05/14/2020 01:00:00.000000,53.0
05/14/2020 02:00:00.000000,43.0
05/14/2020 03:00:00.000000,38.0
05/14/2020 04:00:00.000000,37.0
05/14/2020 05:00:00.000000,35.0
05/14/2020 06:00:00.000000,34.0
05/14/2020 07:00:00.000000,33.0
05/14/2020 08:00:00.000000,32.0
05/14/2020 09:00:00.000000,33.0
05/14/2020 10:00:00.000000,28.0
05/14/2020 11:00:00.000000,25.0
05/14/2020 12:00:00.000000,22.0
05/14/2020 13:00:00.000000,23.0
05/14/2020 14:00:00.000000,27.0
05/14/2020 15:00:00.000000,36.0
05/14/2020 16:00:00.000000,42.0
05/14/2020 17:00:00.000000,47.0
05/14/2020 18:00:00.000000,47.0
05/14/2020 19:00:00.000000,49.0
05/14/2020 20:00:00.000000,47.0
05/14/2020 21:00:00.000000,47.0
05/14/2020 22:00:00.000000,47.0
05/14/2020 23:00:00.000000,48.0
05/15/2020 00:00:00.000000,46.0
05/15/2020 01:00:00.000000,42.0
05/15/2020 02:00:00.000000,37.0
05/15/2020 03:00:00.000000,36.0
05/15/2020 04:00:00.000000,39.0
05/15/2020 05:00:00.000000,36.0
05/15/2020 06:00:00.000000,36.0
05/15/2020 07:00:00.000000,27.0
05/15/2020 08:00:00.000000,28.0
05/15/2020 09:00:00.000000,34.0
05/15/2020 10:00:00.000000,36.0
05/15/2020 11:00:00.000000,41.0
05/15/2020 12:00:00.000000,38.0
05/15/2020 13:00:00.000000,41.0
05/15/2020 14:00:00.000000,40.0
05/15/2020 15:00:00.000000,36.0
05/15/2020 16:00:00.000000,39.0
05/15/2020 17:00:00.000000,43.0
05/15/2020 18:00:00.000000,47.0
05/15/2020 21:00:00.000000,59.0
05/15/2020 22:00:00.000000,58.0
05/15/2020 23:00:00.000000,55.0
05/16/2020 00:00:00.000000,50.0
05/16/2020 01:00:00.000000,44.0
05/16/2020 02:00:00.000000,35.0
05/16/2020 03:00:00.000000,32.0
05/16/2020 04:00:00.000000,35.0
05/16/2020 05:00:00.000000,34.0
05/16/2020 06:00:00.000000,32.0
05/16/2020 07:00:00.000000,29.0
05/16/2020 08:00:00.000000,27.0
05/16/2020 09:00:00.000000,27.0
05/16/2020 10:00:00.000000,27.0
05/16/2020 11:00:00.000000,21.0
05/16/2020 12:00:00.000000,24.0
05/16/2020 13:00:00.000000,25.0
05/16/2020 14:00:00.000000,33.0
05/16/2020 15:00:00.000000,37.0
05/16/2020 16:00:00.000000,40.0
05/16/2020 17:00:00.000000,45.0
05/16/2020 18:00:00.000000,53.0
05/16/2020 19:00:00.000000,57.0
05/16/2020 20:00:00.000000,59.0
05/16/2020 21:00:00.000000,59.0
05/16/2020 22:00:00.000000,60.0
05/16/2020 23:00:00.000000,60.0
05/17/2020 00:00:00.000000,59.0
05/17/2020 01:00:00.000000,57.0
05/17/2020 02:00:00.000000,50.0
05/17/2020 03:00:00.000000,45.0
05/17/2020 04:00:00.000000,40.0
05/17/2020 05:00:00.000000,35.0
05/17/2020 06:00:00.000000,34.0
05/17/2020 07:00:00.000000,33.0
05/17/2020 08:00:00.000000,32.0
05/17/2020 09:00:00.000000,30.0
05/17/2020 10:00:00.000000,26.0
05/17/2020 11:00:00.000000,27.0
05/17/2020 12:00:00.000000,26.0
05/17/2020 13:00:00.000000,24.0
05/17/2020 14:00:00.000000,27.0
05/17/2020 15:00:00.000000,30.0
05/17/2020 16:00:00.000000,34.0
05/17/2020 17:00:00.000000,39.0
05/17/2020 18:00:00.000000,44.0
05/17/2020 19:00:00.000000,49.0
05/17/2020 20:00:00.000000,52.0
05/17/2020 21:00:00.000000,55.0
05/17/2020 22:00:00.000000,58.0
05/17/2020 23:00:00.000000,58.0
05/18/2020 00:00:00.000000,58.0
05/18/2020 01:00:00.000000,55.0
05/18/2020 02:00:00.000000,55.0
05/18/2020 03:00:00.000000,54.0
05/18/2020 04:00:00.000000,49.0
05/18/2020 05:00:00.000000,42.0
05/18/2020 06:00:00.000000,40.0
05/18/2020 07:00:00.000000,37.0
05/18/2020 08:00:00.000000,35.0
05/18/2020 09:00:00.000000,32.0
05/18/2020 10:00:00.000000,29.0
05/18/2020 11:00:00.000000,29.0
05/18/2020 12:00:00.000000,26.0
05/18/2020 13:00:00.000000,28.0
05/18/2020 20:00:00.000000,67.0
05/18/2020 21:00:00.000000,73.0
05/18/2020 22:00:00.000000,77.0
05/18/2020 23:00:00.000000,78.0
05/19/2020 00:00:00.000000,74.0
05/19/2020 01:00:00.000000,64.0
05/19/2020 02:00:00.000000,62.0
05/19/2020 03:00:00.000000,61.0
05/19/2020 04:00:00.000000,59.0
05/19/2020 05:00:00.000000,56.0
05/19/2020 06:00:00.000000,52.0
05/19/2020 07:00:00.000000,52.0
05/19/2020 08:00:00.000000,48.0
05/19/2020 09:00:00.000000,44.0
05/19/2020 10:00:00.000000,44.0
05/19/2020 11:00:00.000000,42.0
05/19/2020 12:00:00.000000,40.0
05/19/2020 13:00:00.000000,39.0
05/19/2020 14:00:00.000000,46.0
05/19/2020 15:00:00.000000,51.0
05/19/2020 16:00:00.000000,58.0
05/19/2020 17:00:00.000000,61.0
05/19/2020 18:00:00.000000,72.0
05/19/2020 19:00:00.000000,75.0
05/19/2020 20:00:00.000000,79.0
05/19/2020 21:00:00.000000,80.0
05/19/2020 22:00:00.000000,71.0
05/19/2020 23:00:00.000000,59.0
05/20/2020 00:00:00.000000,58.0
05/20/2020 01:00:00.000000,56.0
05/20/2020 02:00:00.000000,59.0
05/20/2020 03:00:00.000000,59.0
05/20/2020 04:00:00.000000,58.0
05/20/2020 05:00:00.000000,55.0
05/20/2020 06:00:00.000000,54.0
05/20/2020 07:00:00.000000,51.0
05/20/2020 08:00:00.000000,48.0
05/20/2020 14:00:00.000000,42.0
05/20/2020 15:00:00.000000,49.0
05/20/2020 16:00:00.000000,54.0
05/20/2020 17:00:00.000000,57.0
05/20/2020 18:00:00.000000,58.0
05/20/2020 19:00:00.000000,59.0
05/20/2020 20:00:00.000000,60.0
05/20/2020 21:00:00.000000,56.0
05/20/2020 22:00:00.000000,56.0
05/20/2020 23:00:00.000000,52.0
05/21/2020 00:00:00.000000,54.0
05/21/2020 01:00:00.000000,62.0
05/21/2020 02:00:00.000000,65.0
05/21/2020 03:00:00.000000,62.0
05/21/2020 04:00:00.000000,57.0
05/21/2020 05:00:00.000000,50.0
05/21/2020 06:00:00.000000,50.0
05/21/2020 07:00:00.000000,52.0
05/21/2020 08:00:00.000000,52.0
05/21/2020 09:00:00.000000,47.0
05/21/2020 10:00:00.000000,45.0
05/21/2020 11:00:00.000000,44.0
05/21/2020 12:00:00.000000,44.0
05/21/2020 13:00:00.000000,47.0
05/21/2020 14:00:00.000000,47.0
05/21/2020 15:00:00.000000,51.0
05/21/2020 16:00:00.000000,52.0
05/21/2020 17:00:00.000000,56.0
05/21/2020 18:00:00.000000,61.0
05/21/2020 19:00:00.000000,65.0
05/21/2020 20:00:00.000000,67.0
05/21/2020 21:00:00.000000,67.0
05/21/2020 22:00:00.000000,66.0
05/21/2020 23:00:00.000000,60.0
05/22/2020 00:00:00.000000,59.0
05/22/2020 01:00:00.000000,58.0
05/22/2020 02:00:00.000000,54.0
05/22/2020 03:00:00.000000,52.0
05/22/2020 04:00:00.000000,52.0
05/22/2020 05:00:00.000000,50.0
05/22/2020 06:00:00.000000,46.0
05/22/2020 07:00:00.000000,45.0
05/22/2020 08:00:00.000000,46.0
05/22/2020 09:00:00.000000,46.0
05/22/2020 10:00:00.000000,47.0
05/22/2020 11:00:00.000000,47.0
05/22/2020 12:00:00.000000,44.0
05/22/2020 13:00:00.000000,45.0
05/22/2020 14:00:00.000000,49.0
05/22/2020 15:00:00.000000,48.0
05/22/2020 16:00:00.000000,51.0
05/22/2020 17:00:00.000000,60.0
05/22/2020 18:00:00.000000,60.0
05/22/2020 19:00:00.000000,61.0
05/22/2020 20:00:00.000000,63.0
05/22/2020 21:00:00.000000,65.0
05/22/2020 22:00:00.000000,65.0
05/22/2020 23:00:00.000000,67.0
05/23/2020 00:00:00.000000,65.0
05/23/2020 01:00:00.000000,63.0
05/23/2020 02:00:00.000000,63.0
05/23/2020 03:00:00.000000,60.0
05/23/2020 04:00:00.000000,55.0
05/23/2020 05:00:00.000000,55.0
05/23/2020 06:00:00.000000,48.0
05/23/2020 07:00:00.000000,48.0
05/23/2020 08:00:00.000000,51.0
05/23/2020 09:00:00.000000,49.0
05/23/2020 10:00:00.000000,47.0
05/23/2020 11:00:00.000000,47.0
05/23/2020 12:00:00.000000,46.0
05/23/2020 13:00:00.000000,45.0
05/26/2020 21:00:00.000000,55.0
05/26/2020 22:00:00.000000,56.0
05/26/2020 23:00:00.000000,56.0
05/27/2020 00:00:00.000000,55.0
05/27/2020 01:00:00.000000,51.0
05/27/2020 02:00:00.000000,49.0
05/27/2020 03:00:00.000000,47.0
05/27/2020 04:00:00.000000,36.0
05/27/2020 05:00:00.000000,39.0
05/27/2020 06:00:00.000000,42.0
05/27/2020 07:00:00.000000,36.0
05/27/2020 08:00:00.000000,37.0
05/27/2020 09:00:00.000000,34.0
05/27/2020 10:00:00.000000,35.0
05/27/2020 11:00:00.000000,43.0
05/27/2020 12:00:00.000000,37.0
05/27/2020 13:00:00.000000,38.0
05/27/2020 14:00:00.000000,36.0
05/27/2020 15:00:00.000000,36.0
05/27/2020 16:00:00.000000,44.0
05/27/2020 17:00:00.000000,45.0
05/27/2020 18:00:00.000000,47.0
05/27/2020 19:00:00.000000,51.0
05/27/2020 20:00:00.000000,53.0
05/27/2020 21:00:00.000000,51.0
05/27/2020 22:00:00.000000,50.0
05/27/2020 23:00:00.000000,47.0
05/28/2020 00:00:00.000000,39.0
05/28/2020 01:00:00.000000,42.0
05/28/2020 02:00:00.000000,37.0
05/28/2020 03:00:00.000000,35.0
05/28/2020 04:00:00.000000,30.0
05/28/2020 05:00:00.000000,25.0
05/28/2020 06:00:00.000000,26.0
05/28/2020 07:00:00.000000,35.0
05/28/2020 08:00:00.000000,33.0
05/28/2020 09:00:00.000000,32.0
05/28/2020 10:00:00.000000,29.0
05/28/2020 11:00:00.000000,30.0
05/28/2020 12:00:00.000000,28.0
05/28/2020 13:00:00.000000,29.0
05/28/2020 14:00:00.000000,28.0
05/28/2020 15:00:00.000000,30.0
05/28/2020 16:00:00.000000,31.0
05/28/2020 17:00:00.000000,34.0
05/28/2020 18:00:00.000000,35.0
05/28/2020 19:00:00.000000,37.0
05/28/2020 20:00:00.000000,41.0
05/28/2020 21:00:00.000000,47.0
05/28/2020 22:00:00.000000,51.0
05/28/2020 23:00:00.000000,56.0
05/29/2020 00:00:00.000000,57.0
05/29/2020 01:00:00.000000,52.0
05/29/2020 02:00:00.000000,47.0
05/29/2020 03:00:00.000000,48.0
05/29/2020 04:00:00.000000,48.0
05/29/2020 05:00:00.000000,47.0
05/29/2020 06:00:00.000000,38.0
05/29/2020 07:00:00.000000,30.0
05/29/2020 08:00:00.000000,32.0
05/29/2020 09:00:00.000000,33.0
05/29/2020 10:00:00.000000,33.0
05/29/2020 11:00:00.000000,30.0
05/29/2020 12:00:00.000000,29.0
05/29/2020 17:00:00.000000,54.0
05/29/2020 18:00:00.000000,65.0
05/29/2020 19:00:00.000000,70.0
05/29/2020 20:00:00.000000,76.0
05/29/2020 21:00:00.000000,74.0
05/29/2020 22:00:00.000000,61.0
05/29/2020 23:00:00.000000,43.0
05/30/2020 00:00:00.000000,40.0
05/30/2020 01:00:00.000000,39.0
05/30/2020 02:00:00.000000,42.0
05/30/2020 03:00:00.000000,40.0
05/30/2020 04:00:00.000000,36.0
05/30/2020 05:00:00.000000,34.0
05/30/2020 06:00:00.000000,36.0
05/31/2020 14:00:00.000000,37.0
05/31/2020 15:00:00.000000,40.0
05/31/2020 16:00:00.000000,43.0
05/31/2020 17:00:00.000000,50.0
05/31/2020 18:00:00.000000,57.0
05/31/2020 19:00:00.000000,63.0
05/31/2020 20:00:00.000000,51.0
05/31/2020 21:00:00.000000,44.0
05/31/2020 22:00:00.000000,44.0
05/31/2020 23:00:00.000000,46.0
                
