InstrumentName, Sandra Todd-Williams Academy (CJ_004),,,,,,,,,,,
StartTime, 2022-03-01 00:00:00,,,,,,,,,,,
EndTime, 2022-03-31 23:59:59,,,,,,,,,,,
Date,*Lat,*Lon,IH,IT,P,PM10,PM1_0,PM2_5,PM2_5_p,Sig,WD,WS
03/25/2022 14:50:00.000000,39.77522,-104.99915,19.49,68.28,847.18,0.09,0.0,0.09,5.492,-93.0,-1.0,-1.0
03/25/2022 14:51:01.000000,39.77522,-104.99915,19.43,68.4,847.13,0.0,0.0,0.0,5.467,-93.0,-1.0,-1.0
03/25/2022 14:52:00.000000,39.77522,-104.99915,19.36,68.54,847.1,0.0,0.0,0.0,5.471,-93.0,-1.0,-1.0
03/25/2022 14:53:00.000000,39.77522,-104.99915,19.28,68.67,847.12,0.0,0.0,0.0,5.477,-93.0,-1.0,-1.0
03/25/2022 14:54:00.000000,39.77522,-104.99915,19.21,68.8,847.11,0.02,0.0,0.02,5.489,-93.0,-1.0,-1.0
03/25/2022 14:55:00.000000,39.77522,-104.99915,19.13,68.92,847.1,0.0,0.0,0.0,5.489,-93.0,-1.0,-1.0
03/25/2022 14:56:00.000000,39.77522,-104.99915,19.06,69.04,847.09,0.1,0.0,0.0,5.494,-93.0,-1.0,-1.0
03/25/2022 14:57:01.000000,39.77522,-104.99915,19.0,69.16,847.1,0.08,0.0,0.0,5.498,-93.0,-1.0,-1.0
03/25/2022 14:58:00.000000,39.77522,-104.99915,18.94,69.27,847.12,0.28,0.0,0.0,5.502,-93.0,-1.0,-1.0
03/25/2022 14:59:00.000000,39.77522,-104.99915,18.88,69.38,847.11,0.0,0.0,0.0,5.507,-93.0,-1.0,-1.0
03/25/2022 15:00:00.000000,39.77522,-104.99915,18.82,69.49,847.08,0.0,0.0,0.0,5.511,-93.0,-1.0,-1.0
03/25/2022 15:01:00.000000,39.77522,-104.99915,18.75,69.59,847.07,0.0,0.0,0.0,5.516,-93.0,-1.0,-1.0
03/25/2022 15:02:00.000000,39.77522,-104.99915,18.7,69.7,847.05,0.0,0.0,0.0,5.52,-93.0,-1.0,-1.0
03/25/2022 15:03:00.000000,39.77538,-104.99908,18.65,69.81,847.05,0.0,0.0,0.0,5.523,-93.0,-1.0,-1.0
03/25/2022 15:04:00.000000,39.7754,-104.99907,18.6,69.9,847.03,0.0,0.0,0.0,5.527,-93.0,-1.0,-1.0
03/25/2022 15:05:01.000000,39.7754,-104.99907,18.54,69.99,847.04,0.0,0.0,0.0,5.531,-93.0,-1.0,-1.0
03/25/2022 15:06:00.000000,39.7754,-104.99907,18.49,70.08,847.04,0.0,0.0,0.0,5.535,-93.0,-1.0,-1.0
03/25/2022 15:07:00.000000,39.7754,-104.99907,18.44,70.17,847.03,0.0,0.0,0.0,5.538,-93.0,-1.0,-1.0
03/25/2022 15:08:00.000000,39.7754,-104.99907,18.39,70.25,847.02,0.0,0.0,0.0,5.542,-93.0,-1.0,-1.0
03/25/2022 15:09:00.000000,39.7754,-104.99907,18.33,70.34,846.99,0.12,0.0,0.0,5.547,-93.0,-1.0,-1.0
03/25/2022 15:10:00.000000,39.7754,-104.99907,18.28,70.43,846.99,0.0,0.0,0.0,5.551,-93.0,-1.0,-1.0
03/25/2022 15:11:01.000000,39.77522,-104.99906,18.23,70.5,846.99,5.4,2.53,5.03,7.21,-93.0,-1.0,-1.0
03/25/2022 15:12:00.000000,,,18.19,70.58,846.98,1.19,0.64,1.19,5.949,-92.0,-1.0,-1.0
03/25/2022 15:13:00.000000,39.77528,-104.99905,18.19,70.65,846.97,0.25,0.0,0.25,5.638,-93.0,-1.0,-1.0
03/25/2022 15:14:00.000000,39.77526,-104.99899,18.37,70.71,846.96,0.22,0.0,0.22,5.608,-92.0,-1.0,-1.0
03/25/2022 15:15:01.000000,39.77526,-104.99899,18.33,70.78,846.96,0.35,0.03,0.2,5.605,-92.0,-1.0,-1.0
03/25/2022 15:16:00.000000,39.77526,-104.99899,18.21,70.85,846.95,0.02,0.0,0.02,5.557,-93.0,-1.0,-1.0
03/25/2022 15:17:00.000000,39.77526,-104.99899,18.14,70.92,846.96,0.08,0.0,0.0,5.556,-90.0,-1.0,-1.0
03/25/2022 15:18:00.000000,39.77526,-104.99899,18.74,70.95,846.93,0.55,0.15,0.43,5.634,-88.0,-1.0,-1.0
03/25/2022 15:19:00.000000,39.77526,-104.99899,17.7,70.94,846.92,0.04,0.0,0.04,5.616,-88.0,-1.0,-1.0
03/25/2022 15:20:00.000000,39.77526,-104.99899,16.92,70.87,846.91,0.0,0.0,0.0,5.686,-88.0,-1.0,-1.0
03/25/2022 15:21:01.000000,39.77526,-104.99899,16.79,70.75,846.92,0.06,0.0,0.05,5.719,-88.0,-1.0,-1.0
03/25/2022 15:22:00.000000,39.77526,-104.99899,17.26,70.62,846.95,0.47,0.0,0.26,5.74,-88.0,-1.0,-1.0
03/25/2022 15:23:00.000000,39.77526,-104.99899,17.73,70.45,846.96,0.52,0.0,0.29,5.704,-88.0,-1.0,-1.0
03/25/2022 15:24:00.000000,39.77526,-104.99899,17.99,70.26,847.08,0.32,0.0,0.12,5.624,-89.0,-1.0,-1.0
03/25/2022 15:25:00.000000,39.77526,-104.99899,17.58,70.05,847.11,0.82,0.17,0.39,5.76,-89.0,-1.0,-1.0
03/25/2022 15:26:00.000000,39.77526,-104.99899,17.12,69.84,847.0,0.08,0.03,0.08,5.71,-89.0,-1.0,-1.0
03/25/2022 15:27:00.000000,39.77526,-104.99899,16.78,69.65,847.04,0.23,0.0,0.0,5.723,-89.0,-1.0,-1.0
03/25/2022 15:28:00.000000,39.77526,-104.99899,16.35,69.46,847.06,0.18,0.0,0.18,5.832,-89.0,-1.0,-1.0
03/25/2022 15:29:00.000000,39.77526,-104.99899,15.98,69.28,847.09,0.0,0.0,0.0,5.815,-89.0,-1.0,-1.0
03/25/2022 15:30:00.000000,39.77526,-104.99899,15.81,69.1,847.09,0.26,0.0,0.16,5.889,-88.0,-1.0,-1.0
03/25/2022 15:31:00.000000,39.77526,-104.99899,15.72,68.96,846.82,0.0,0.0,0.0,5.848,-96.0,-1.0,-1.0
03/25/2022 15:32:00.000000,39.77526,-104.99899,15.71,68.83,846.12,0.19,0.0,0.0,5.852,-90.0,-1.0,-1.0
03/25/2022 15:33:01.000000,39.77526,-104.99899,15.72,68.7,845.73,0.24,0.0,0.2,5.919,-86.0,-1.0,-1.0
03/25/2022 15:34:00.000000,39.77526,-104.99899,15.74,68.58,845.96,0.53,0.0,0.31,5.955,-78.0,-1.0,-1.0
03/25/2022 15:35:00.000000,39.77526,-104.99899,15.77,68.46,847.56,0.57,0.0,0.14,5.898,-85.0,-1.0,-1.0
03/25/2022 15:36:00.000000,39.77526,-104.99899,15.82,68.36,847.42,0.43,0.3,0.43,5.99,-87.0,-1.0,-1.0
03/25/2022 15:37:00.000000,39.77526,-104.99899,15.91,68.26,848.44,0.0,0.0,0.0,5.841,-85.0,-1.0,-1.0
03/25/2022 15:38:00.000000,39.77526,-104.99899,15.96,68.16,847.74,0.05,0.0,0.0,5.838,-73.0,-1.0,-1.0
03/25/2022 15:39:00.000000,39.77526,-104.99899,15.99,68.07,845.74,0.14,0.03,0.08,5.862,-89.0,-1.0,-1.0
03/25/2022 15:40:00.000000,39.77526,-104.99899,16.05,67.98,844.85,0.12,0.06,0.12,5.871,-88.0,-1.0,-1.0
03/25/2022 15:41:00.000000,39.77526,-104.99899,16.14,67.89,845.14,0.59,0.0,0.34,5.935,-91.0,-1.0,-1.0
03/25/2022 15:42:00.000000,39.77526,-104.99899,16.22,67.82,845.18,0.0,0.0,0.0,5.816,-85.0,-1.0,-1.0
03/25/2022 15:43:00.000000,39.77526,-104.99899,16.3,67.75,844.33,0.53,0.0,0.29,5.905,-88.0,-1.0,-1.0
03/25/2022 15:44:00.000000,39.77526,-104.99899,16.39,67.68,843.94,0.35,0.0,0.23,5.877,-78.0,-1.0,-1.0
03/25/2022 15:45:00.000000,39.77526,-104.99899,16.47,67.63,842.81,0.22,0.0,0.07,5.817,-93.0,-1.0,-1.0
03/25/2022 15:46:00.000000,39.77526,-104.99899,16.57,67.57,842.91,0.08,0.0,0.0,5.784,-78.0,-1.0,-1.0
03/25/2022 15:47:00.000000,39.77526,-104.99899,16.64,67.51,842.42,0.43,0.0,0.11,5.814,-88.0,-1.0,-1.0
03/25/2022 15:48:00.000000,39.77526,-104.99899,16.71,67.46,840.94,0.2,0.0,0.03,5.781,-84.0,-1.0,-1.0
03/25/2022 15:49:00.000000,39.77526,-104.99899,16.81,67.42,840.95,0.12,0.0,0.12,5.801,-96.0,-1.0,-1.0
03/25/2022 15:50:00.000000,39.77526,-104.99899,16.93,67.35,841.82,0.23,0.0,0.23,5.826,-90.0,-1.0,-1.0
03/25/2022 15:51:00.000000,39.77526,-104.99899,17.05,67.33,841.8,0.0,0.0,0.0,5.738,-75.0,-1.0,-1.0
03/25/2022 15:52:00.000000,39.77526,-104.99899,17.14,67.29,842.14,0.0,0.0,0.0,5.729,-67.0,-1.0,-1.0
03/25/2022 15:53:00.000000,39.77526,-104.99899,17.22,67.26,841.77,0.05,0.0,0.05,5.738,-87.0,-1.0,-1.0
03/25/2022 15:54:00.000000,39.77526,-104.99899,17.34,67.21,842.04,0.28,0.0,0.17,5.765,-91.0,-1.0,-1.0
03/25/2022 15:55:00.000000,39.77526,-104.99899,17.49,67.16,842.09,0.09,0.0,0.09,5.724,-88.0,-1.0,-1.0
03/25/2022 15:56:00.000000,39.77526,-104.99899,17.58,67.11,842.02,0.0,0.0,0.0,5.686,-88.0,-1.0,-1.0
03/25/2022 15:57:00.000000,39.77526,-104.99899,17.67,67.06,841.99,0.07,0.0,0.07,5.7,-88.0,-1.0,-1.0
03/25/2022 15:58:00.000000,39.77526,-104.99899,17.76,67.02,841.99,0.22,0.0,0.0,5.668,-88.0,-1.0,-1.0
03/25/2022 15:59:00.000000,39.77526,-104.99899,17.82,66.98,841.99,0.04,0.0,0.04,5.676,-88.0,-1.0,-1.0
03/25/2022 16:00:01.000000,39.77526,-104.99899,17.86,66.95,842.01,0.02,0.0,0.02,5.666,-88.0,-1.0,-1.0
03/25/2022 16:01:00.000000,39.77526,-104.99899,17.9,66.92,841.98,0.0,0.0,0.0,5.655,-88.0,-1.0,-1.0
03/25/2022 16:02:00.000000,39.77526,-104.99899,17.95,66.89,841.97,0.22,0.0,0.0,5.651,-91.0,-1.0,-1.0
03/25/2022 16:03:00.000000,39.77526,-104.99899,18.05,66.86,841.95,0.02,0.0,0.0,5.641,-85.0,-1.0,-1.0
03/25/2022 16:04:00.000000,39.77526,-104.99899,18.17,66.85,841.96,0.0,0.0,0.0,5.628,-84.0,-1.0,-1.0
03/25/2022 16:05:00.000000,39.77526,-104.99899,18.29,66.83,841.94,0.0,0.0,0.0,5.616,-84.0,-1.0,-1.0
03/25/2022 16:06:00.000000,39.77526,-104.99899,18.32,66.82,841.94,0.09,0.0,0.0,5.613,-82.0,-1.0,-1.0
03/25/2022 16:07:00.000000,39.77526,-104.99899,18.33,66.8,841.94,0.32,0.0,0.12,5.652,-82.0,-1.0,-1.0
03/25/2022 16:08:00.000000,39.77526,-104.99899,18.33,66.79,841.94,0.22,0.0,0.22,5.685,-82.0,-1.0,-1.0
03/25/2022 16:09:00.000000,39.77526,-104.99899,18.34,66.77,841.96,0.47,0.22,0.45,5.76,-83.0,-1.0,-1.0
03/25/2022 16:10:00.000000,39.77526,-104.99899,18.4,66.74,841.97,0.97,0.22,0.9,5.902,-84.0,-1.0,-1.0
03/25/2022 16:11:00.000000,39.77526,-104.99899,18.44,66.67,841.97,1.01,0.05,0.87,5.889,-83.0,-1.0,-1.0
03/25/2022 16:12:00.000000,39.77526,-104.99899,18.42,66.56,841.96,0.53,0.13,0.2,5.673,-82.0,-1.0,-1.0
03/25/2022 16:13:00.000000,39.77526,-104.99899,18.39,66.47,841.97,0.09,0.0,0.09,5.642,-83.0,-1.0,-1.0
03/25/2022 16:14:00.000000,39.77526,-104.99899,18.36,66.38,841.99,0.05,0.0,0.05,5.633,-83.0,-1.0,-1.0
03/25/2022 16:15:00.000000,39.77526,-104.99899,18.7,66.28,841.99,0.53,0.23,0.53,5.757,-84.0,-1.0,-1.0
03/25/2022 16:16:00.000000,39.77526,-104.99899,19.56,65.67,842.02,1.67,1.27,1.67,6.053,-85.0,-1.0,-1.0
03/25/2022 16:17:00.000000,39.77526,-104.99899,20.43,64.38,842.03,2.12,0.79,1.49,5.925,-85.0,-1.0,-1.0
03/25/2022 16:18:00.000000,39.77526,-104.99899,20.82,63.98,842.06,1.02,0.54,0.88,5.691,-91.0,-1.0,-1.0
03/25/2022 16:19:00.000000,39.77526,-104.99899,21.74,63.4,842.12,1.71,0.82,1.48,5.802,-91.0,-1.0,-1.0
03/25/2022 16:20:00.000000,39.77526,-104.99899,22.19,63.04,842.11,1.82,0.64,1.39,5.731,-89.0,-1.0,-1.0
03/25/2022 16:21:00.000000,39.77526,-104.99899,22.91,62.43,842.11,2.51,0.72,1.89,5.831,-90.0,-1.0,-1.0
03/25/2022 16:22:00.000000,39.77526,-104.99899,23.91,61.21,842.14,1.48,0.62,1.27,5.544,-91.0,-1.0,-1.0
03/25/2022 16:23:00.000000,39.77526,-104.99899,24.16,60.95,842.14,2.21,0.61,1.8,5.697,-91.0,-1.0,-1.0
03/25/2022 16:24:00.000000,39.77526,-104.99899,24.2,60.91,842.1,2.44,0.74,1.52,5.601,-93.0,-1.0,-1.0
03/25/2022 16:25:00.000000,39.77526,-104.99899,24.43,60.79,842.07,1.53,0.63,1.34,5.52,-88.0,-1.0,-1.0
03/25/2022 16:26:00.000000,39.77526,-104.99899,24.62,60.08,841.87,1.22,0.55,0.97,5.391,-83.0,-1.0,-1.0
03/25/2022 16:27:00.000000,39.77526,-104.99899,24.84,59.77,841.78,1.53,0.78,1.53,5.558,-82.0,-1.0,-1.0
03/25/2022 16:28:00.000000,39.77526,-104.99899,25.14,59.44,841.79,1.53,0.39,1.46,5.509,-83.0,-1.0,-1.0
03/25/2022 16:29:00.000000,39.77526,-104.99899,25.69,58.5,841.85,1.27,0.58,1.02,5.323,-83.0,-1.0,-1.0
03/25/2022 16:30:00.000000,39.77526,-104.99899,25.73,58.4,841.82,1.98,0.74,1.41,5.449,-82.0,-1.0,-1.0
03/25/2022 16:31:00.000000,39.77526,-104.99899,26.15,58.06,841.79,2.11,1.07,1.85,5.556,-82.0,-1.0,-1.0
03/25/2022 16:32:00.000000,39.77526,-104.99899,26.62,57.72,841.79,2.42,0.77,1.79,5.493,-82.0,-1.0,-1.0
03/25/2022 16:33:00.000000,39.77526,-104.99899,27.29,57.04,841.78,1.48,0.8,1.42,5.313,-82.0,-1.0,-1.0
03/25/2022 16:34:00.000000,39.77526,-104.99899,27.75,56.43,841.77,2.47,0.76,1.89,5.43,-82.0,-1.0,-1.0
03/25/2022 16:35:00.000000,39.77526,-104.99899,28.05,56.21,841.74,1.7,0.79,1.7,5.34,-82.0,-1.0,-1.0
03/25/2022 16:36:00.000000,39.77526,-104.99899,28.52,55.95,841.76,1.51,0.83,1.51,5.233,-82.0,-1.0,-1.0
03/25/2022 16:37:00.000000,39.77526,-104.99899,29.19,55.44,841.71,1.48,0.57,1.45,5.151,-82.0,-1.0,-1.0
03/25/2022 16:38:00.000000,39.77526,-104.99899,29.78,54.92,841.67,1.47,0.58,1.18,5.01,-82.0,-1.0,-1.0
03/25/2022 16:39:00.000000,39.77526,-104.99899,30.21,54.54,841.63,1.68,0.81,1.22,4.985,-82.0,-1.0,-1.0
03/25/2022 16:40:00.000000,39.77526,-104.99899,30.11,54.52,841.61,1.23,0.83,1.22,4.996,-82.0,-1.0,-1.0
03/25/2022 16:41:00.000000,39.77526,-104.99899,30.35,54.22,841.62,1.57,0.82,1.35,5.018,-82.0,-1.0,-1.0
03/25/2022 16:42:00.000000,39.77526,-104.99899,30.69,53.93,841.63,1.17,0.55,0.76,4.794,-82.0,-1.0,-1.0
03/25/2022 16:43:01.000000,39.77526,-104.99899,31.2,53.66,841.63,1.47,0.77,0.94,4.804,-82.0,-1.0,-1.0
03/25/2022 16:44:00.000000,39.77526,-104.99899,31.53,53.32,841.62,1.45,0.72,1.45,4.943,-82.0,-1.0,-1.0
03/25/2022 16:45:00.000000,39.77526,-104.99899,31.85,53.08,841.64,1.44,0.68,1.05,4.782,-82.0,-1.0,-1.0
03/25/2022 16:46:00.000000,39.77526,-104.99899,31.97,52.77,841.63,1.08,0.68,1.08,4.785,-82.0,-1.0,-1.0
03/25/2022 16:47:00.000000,39.77526,-104.99899,32.11,52.7,841.59,0.98,0.62,0.98,4.739,-82.0,-1.0,-1.0
03/25/2022 16:48:00.000000,39.77526,-104.99899,31.77,52.9,841.54,1.7,0.73,1.43,4.919,-82.0,-1.0,-1.0
03/25/2022 16:49:00.000000,39.77526,-104.99899,31.88,52.87,841.51,1.34,0.61,1.14,4.813,-82.0,-1.0,-1.0
03/25/2022 16:50:00.000000,39.77526,-104.99899,32.2,52.66,841.51,2.87,1.25,2.75,5.313,-82.0,-1.0,-1.0
03/25/2022 16:51:01.000000,39.77526,-104.99899,32.44,52.6,841.47,1.74,0.98,1.74,4.956,-82.0,-1.0,-1.0
03/25/2022 16:52:00.000000,39.77526,-104.99899,32.55,52.63,841.42,1.7,1.02,1.7,4.931,-82.0,-1.0,-1.0
03/25/2022 16:53:00.000000,39.77526,-104.99899,32.85,52.54,841.4,1.97,1.12,1.74,4.914,-82.0,-1.0,-1.0
03/25/2022 16:54:00.000000,39.77526,-104.99899,33.04,52.48,841.36,1.62,0.62,1.62,4.855,-82.0,-1.0,-1.0
03/25/2022 16:55:00.000000,39.77526,-104.99899,33.08,52.5,841.31,1.72,0.72,1.17,4.702,-82.0,-1.0,-1.0
03/25/2022 16:56:00.000000,39.77526,-104.99899,33.15,52.42,841.25,2.35,0.98,1.93,4.947,-82.0,-1.0,-1.0
03/25/2022 16:57:00.000000,39.77526,-104.99899,33.73,52.08,841.16,2.77,1.03,2.2,4.981,-82.0,-1.0,-1.0
03/25/2022 16:58:01.000000,39.77526,-104.99899,33.88,52.03,841.16,2.43,1.22,1.65,4.785,-82.0,-1.0,-1.0
03/25/2022 16:59:00.000000,39.77526,-104.99899,33.8,52.06,841.15,2.52,0.9,2.0,4.908,-82.0,-1.0,-1.0
03/25/2022 17:00:00.000000,39.77526,-104.99899,33.92,51.98,841.12,1.72,1.13,1.72,4.804,-82.0,-1.0,-1.0
03/25/2022 17:01:00.000000,39.77526,-104.99899,34.06,51.92,841.05,1.72,1.33,1.72,4.791,-82.0,-1.0,-1.0
03/25/2022 17:02:00.000000,39.77526,-104.99899,34.09,51.83,841.02,2.55,1.3,1.85,4.832,-82.0,-1.0,-1.0
03/25/2022 17:03:00.000000,39.77526,-104.99899,34.28,51.71,840.96,2.6,1.6,2.6,5.061,-82.0,-1.0,-1.0
03/25/2022 17:04:00.000000,39.77526,-104.99899,34.59,51.64,840.95,2.18,1.47,2.18,4.891,-82.0,-1.0,-1.0
03/25/2022 17:05:01.000000,39.77526,-104.99899,34.5,51.63,840.95,3.87,1.82,3.43,5.312,-82.0,-1.0,-1.0
03/25/2022 17:06:00.000000,39.77526,-104.99899,34.34,51.66,840.93,3.8,1.73,3.4,5.319,-82.0,-1.0,-1.0
03/25/2022 17:07:00.000000,39.77526,-104.99899,34.53,51.64,840.92,1.97,1.23,1.97,4.828,-82.0,-1.0,-1.0
03/25/2022 17:08:00.000000,39.77526,-104.99899,34.79,51.62,840.93,3.43,1.95,3.15,5.19,-82.0,-1.0,-1.0
03/25/2022 17:09:00.000000,39.77526,-104.99899,34.81,51.59,840.95,2.8,1.53,2.8,5.073,-82.0,-1.0,-1.0
03/25/2022 17:10:00.000000,39.77526,-104.99899,34.93,51.56,840.96,2.33,1.23,2.33,4.906,-82.0,-1.0,-1.0
03/25/2022 17:11:00.000000,39.77526,-104.99899,34.94,51.53,840.95,2.65,1.2,2.12,4.837,-82.0,-1.0,-1.0
03/25/2022 17:12:00.000000,39.77526,-104.99899,35.01,51.49,840.95,2.53,1.58,2.53,4.965,-82.0,-1.0,-1.0
03/25/2022 17:13:00.000000,39.77526,-104.99899,35.23,51.43,840.9,1.03,0.57,1.03,4.449,-82.0,-1.0,-1.0
03/25/2022 17:14:00.000000,39.77526,-104.99899,35.35,51.39,840.85,2.0,1.18,2.0,4.756,-82.0,-1.0,-1.0
03/25/2022 17:15:00.000000,39.77526,-104.99899,35.34,51.38,840.86,2.52,0.93,1.9,4.725,-82.0,-1.0,-1.0
03/25/2022 17:16:00.000000,39.77526,-104.99899,35.38,51.3,840.83,2.65,1.75,2.65,4.969,-82.0,-1.0,-1.0
03/25/2022 17:17:00.000000,39.77526,-104.99899,35.42,51.23,840.78,2.88,1.73,2.88,5.041,-82.0,-1.0,-1.0
03/25/2022 17:18:00.000000,39.77526,-104.99899,35.4,51.25,840.77,3.17,1.95,3.17,5.139,-82.0,-1.0,-1.0
03/25/2022 17:19:00.000000,39.77526,-104.99899,35.61,51.3,840.76,3.07,1.97,3.07,5.083,-82.0,-1.0,-1.0
03/25/2022 17:20:00.000000,39.77526,-104.99899,35.57,51.35,840.75,2.8,2.03,2.8,4.997,-82.0,-1.0,-1.0
03/25/2022 17:21:00.000000,39.77526,-104.99899,35.6,51.35,840.68,1.8,1.2,1.8,4.665,-82.0,-1.0,-1.0
03/25/2022 17:22:00.000000,39.77526,-104.99899,35.77,51.28,840.68,2.78,1.53,2.75,4.961,-82.0,-1.0,-1.0
03/25/2022 17:23:00.000000,39.77526,-104.99899,35.62,51.34,840.71,3.47,1.52,2.68,4.952,-82.0,-1.0,-1.0
03/25/2022 17:24:00.000000,39.77526,-104.99899,35.6,51.39,840.67,2.37,1.43,2.07,4.753,-82.0,-1.0,-1.0
03/25/2022 17:25:00.000000,39.77526,-104.99899,35.46,51.52,840.66,2.27,1.43,1.88,4.703,-82.0,-1.0,-1.0
03/25/2022 17:26:00.000000,39.77526,-104.99899,35.45,51.68,840.64,2.43,1.28,2.08,4.767,-82.0,-1.0,-1.0
03/25/2022 17:27:00.000000,39.77526,-104.99899,35.31,51.76,840.62,1.9,1.32,1.83,4.698,-82.0,-1.0,-1.0
03/25/2022 17:28:00.000000,39.77526,-104.99899,35.2,51.83,840.6,1.92,0.82,1.92,4.738,-82.0,-1.0,-1.0
03/25/2022 17:29:00.000000,39.77526,-104.99899,35.31,51.9,840.6,2.22,0.98,1.77,4.675,-82.0,-1.0,-1.0
03/25/2022 17:30:00.000000,39.77526,-104.99899,35.36,51.98,840.6,1.47,0.67,1.47,4.57,-82.0,-1.0,-1.0
03/25/2022 17:31:00.000000,39.77526,-104.99899,35.09,52.09,840.59,2.12,0.98,2.12,4.81,-82.0,-1.0,-1.0
03/25/2022 17:32:00.000000,39.77526,-104.99899,35.02,52.15,840.62,1.5,1.13,1.5,4.613,-82.0,-1.0,-1.0
03/25/2022 17:33:00.000000,39.77526,-104.99899,34.85,52.25,840.61,1.73,1.08,1.68,4.688,-82.0,-1.0,-1.0
03/25/2022 17:34:00.000000,39.77526,-104.99899,34.86,52.38,840.58,3.08,1.23,2.18,4.849,-82.0,-1.0,-1.0
03/25/2022 17:35:00.000000,39.77526,-104.99899,34.66,52.49,840.54,1.68,0.92,1.65,4.694,-82.0,-1.0,-1.0
03/25/2022 17:36:00.000000,39.77526,-104.99899,34.45,52.57,840.54,2.5,1.12,1.78,4.757,-82.0,-1.0,-1.0
03/25/2022 17:37:00.000000,39.77526,-104.99899,34.3,52.7,840.54,2.45,1.03,2.45,4.991,-82.0,-1.0,-1.0
03/25/2022 17:38:00.000000,39.77526,-104.99899,34.11,52.85,840.54,1.75,1.02,1.75,4.778,-82.0,-1.0,-1.0
03/25/2022 17:39:00.000000,39.77526,-104.99899,34.02,52.97,840.54,3.75,1.48,3.75,5.444,-82.0,-1.0,-1.0
03/25/2022 17:40:00.000000,39.77526,-104.99899,34.04,53.08,840.54,2.48,1.63,2.48,5.022,-82.0,-1.0,-1.0
03/25/2022 17:41:00.000000,39.77526,-104.99899,33.93,53.22,840.55,1.57,0.67,1.57,4.731,-82.0,-1.0,-1.0
03/25/2022 17:42:00.000000,39.77526,-104.99899,33.69,53.35,840.55,2.53,1.3,2.53,5.07,-82.0,-1.0,-1.0
03/25/2022 17:43:00.000000,39.77526,-104.99899,33.65,53.43,840.55,4.58,2.86,4.41,5.692,-82.0,-1.0,-1.0
03/25/2022 17:44:00.000000,39.77526,-104.99899,33.49,53.52,840.53,2.84,1.88,2.69,5.141,-82.0,-1.0,-1.0
03/25/2022 17:45:00.000000,39.77526,-104.99899,33.49,53.68,840.53,2.1,0.92,2.01,4.914,-82.0,-1.0,-1.0
03/25/2022 17:46:00.000000,39.77526,-104.99899,33.26,53.82,840.48,2.47,1.02,2.17,4.988,-82.0,-1.0,-1.0
03/25/2022 17:47:00.000000,39.77526,-104.99899,33.42,53.69,840.43,2.6,1.64,2.48,5.076,-82.0,-1.0,-1.0
03/25/2022 17:48:00.000000,39.77526,-104.99899,33.38,53.71,840.46,3.46,1.13,2.4,5.053,-82.0,-1.0,-1.0
03/25/2022 17:49:00.000000,39.77526,-104.99899,33.24,53.81,840.48,3.11,1.27,2.37,5.056,-82.0,-1.0,-1.0
03/25/2022 17:50:00.000000,39.77526,-104.99899,33.17,53.76,840.46,3.22,1.97,2.97,5.262,-82.0,-1.0,-1.0
03/25/2022 17:51:00.000000,39.77526,-104.99899,33.23,53.83,840.44,2.94,1.43,2.46,5.087,-82.0,-1.0,-1.0
03/25/2022 17:52:01.000000,39.77526,-104.99899,33.14,53.94,840.43,2.63,1.63,2.41,5.078,-82.0,-1.0,-1.0
03/25/2022 17:53:00.000000,39.77526,-104.99899,32.98,54.11,840.4,3.35,1.32,2.52,5.128,-82.0,-1.0,-1.0
03/25/2022 17:54:00.000000,39.77526,-104.99899,32.91,54.21,840.37,2.42,1.65,2.04,4.975,-82.0,-1.0,-1.0
03/25/2022 17:55:00.000000,39.77526,-104.99899,32.85,54.32,840.33,2.98,1.68,2.46,5.118,-82.0,-1.0,-1.0
03/25/2022 17:56:00.000000,39.77526,-104.99899,32.69,54.34,840.32,2.62,1.31,2.62,5.187,-82.0,-1.0,-1.0
03/25/2022 17:57:00.000000,39.77526,-104.99899,32.53,54.33,840.29,3.08,1.78,2.74,5.244,-82.0,-1.0,-1.0
03/25/2022 17:58:00.000000,39.77526,-104.99899,32.46,54.41,840.25,2.98,1.58,2.98,5.329,-82.0,-1.0,-1.0
03/25/2022 17:59:00.000000,39.77526,-104.99899,32.33,54.6,840.23,2.36,1.33,2.36,5.135,-82.0,-1.0,-1.0
03/25/2022 18:00:00.000000,39.77526,-104.99899,32.4,54.65,840.19,2.03,0.72,1.75,4.926,-82.0,-1.0,-1.0
03/25/2022 18:01:00.000000,39.77526,-104.99899,32.54,54.67,840.17,2.79,1.5,2.11,5.029,-82.0,-1.0,-1.0
03/25/2022 18:02:00.000000,39.77526,-104.99899,32.45,54.69,840.17,2.73,1.88,2.35,5.117,-82.0,-1.0,-1.0
03/25/2022 18:03:00.000000,39.77526,-104.99899,32.57,54.62,840.16,3.19,1.4,2.19,5.053,-82.0,-1.0,-1.0
03/25/2022 18:04:00.000000,39.77526,-104.99899,32.71,54.55,840.14,2.66,1.43,2.0,4.977,-82.0,-1.0,-1.0
03/25/2022 18:05:00.000000,39.77526,-104.99899,32.7,54.62,840.12,2.68,1.61,2.31,5.079,-82.0,-1.0,-1.0
03/25/2022 18:06:00.000000,39.77526,-104.99899,32.67,54.56,840.11,3.43,1.91,3.22,5.383,-82.0,-1.0,-1.0
